Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P33410_1012.md	3951204.0	0.0	3951204.0	1.0	1975602.0	1975602.0	3950605.0	3950388.0	599.0	3828994.0	3951204.0	2306.0	124063.0	0.0	0.0	102114.0	564339335.0	282123614.0	282215721.0	564262929.0	562639077.0	0.0	324132.0	2355494.0	0.00418651	143.0	143.0	143.0	151.0	151.0	151.0	38.9	218.5	100.0	1673303.0	252261.0	32995.0	16635.0	96.9	99.98484006394001	99.97934806707019	0.015159936059995889	96.90701872138214	100.0	0.05836195751978384	3.1398783763126383	0.0
P33410_1013.md	3951030.0	0.0	3951030.0	1.0	1975515.0	1975515.0	3950071.0	3949490.0	959.0	3792548.0	3951030.0	2690.0	119622.0	0.0	0.0	170971.0	549773763.0	274715085.0	275058678.0	549695822.0	547742780.0	0.0	387209.0	2277797.0	0.004158516	139.0	139.0	139.0	151.0	151.0	151.0	39.0	208.4	96.6	1628891.0	284125.0	47502.0	14227.0	96.0	99.97572784818136	99.96102282189707	0.024272151818639696	95.98884341551444	100.0	0.0680835124005639	3.0276155837844816	0.0
P33410_1014.md	3952386.0	0.0	3952386.0	1.0	1976193.0	1976193.0	3951431.0	3950900.0	955.0	3792952.0	3952386.0	2865.0	121878.0	0.0	0.0	181153.0	549998088.0	274837601.0	275160487.0	549910205.0	547969428.0	0.0	409718.0	2291948.0	0.00418262	139.0	139.0	139.0	151.0	151.0	151.0	39.0	205.3	92.9	1625809.0	286842.0	49474.0	13325.0	96.0	99.97583738025587	99.9624024576547	0.024162619744124182	95.96613286252912	100.0	0.07248785923237254	3.0836563028003843	0.0
P33410_1015.md	3952078.0	0.0	3952078.0	1.0	1976039.0	1976039.0	3951069.0	3950494.0	1009.0	3796832.0	3952078.0	2464.0	122909.0	0.0	0.0	177348.0	545746452.0	272687133.0	273059319.0	545656786.0	543697109.0	0.0	349462.0	2260438.0	0.004157532	138.0	138.0	138.0	151.0	151.0	151.0	39.0	202.6	94.9	1607548.0	307009.0	46503.0	14187.0	96.1	99.97446912738059	99.95991981939628	0.025530872619416924	96.07178805681467	100.0	0.06234694760579118	3.109984165292284	0.0
P33410_1016.md	3946442.0	0.0	3946442.0	1.0	1973221.0	1973221.0	3945270.0	3944552.0	1172.0	3771112.0	3946442.0	3018.0	113299.0	0.0	0.0	187621.0	557533846.0	278612224.0	278921622.0	557434765.0	555501062.0	0.0	434179.0	2288335.0	0.004119407	141.0	141.0	141.0	151.0	151.0	151.0	39.0	215.8	96.1	1653946.0	249029.0	54570.0	14731.0	95.6	99.97030236349603	99.95210876024531	0.029697636503969907	95.55726398614244	100.0	0.07647394792575185	2.8709151179720873	0.0
P33410_1017.md	3949302.0	0.0	3949302.0	1.0	1974651.0	1974651.0	3948099.0	3947278.0	1203.0	3786536.0	3949302.0	2585.0	126908.0	0.0	0.0	183698.0	546963150.0	273260869.0	273702281.0	546880583.0	544784980.0	0.0	372552.0	2273302.0	0.004172843	138.0	138.0	139.0	151.0	151.0	151.0	39.0	203.5	94.6	1609830.0	300723.0	48754.0	14332.0	95.9	99.96953892105492	99.94875043741906	0.030461078945089537	95.87861348663638	100.0	0.06545460438325558	3.2134286008008504	0.0
P33410_1018.md	3954502.0	0.0	3954502.0	1.0	1977251.0	1977251.0	3953667.0	3953180.0	835.0	3794376.0	3954502.0	2501.0	121426.0	0.0	0.0	185057.0	550798051.0	275243416.0	275554635.0	550725747.0	548801843.0	0.0	350883.0	2233519.0	0.004069809	139.0	139.0	139.0	151.0	151.0	151.0	39.0	204.2	93.0	1623405.0	291473.0	49175.0	12537.0	96.0	99.97888482544704	99.96656974759401	0.02111517455295256	95.95079228686697	100.0	0.06324437312207706	3.0705762697806196	0.0
P33410_1019.md	3953696.0	0.0	3953696.0	1.0	1976848.0	1976848.0	3952655.0	3952126.0	1041.0	3790298.0	3953696.0	2443.0	144921.0	0.0	0.0	194470.0	548096082.0	273889594.0	274206488.0	548000087.0	545929579.0	0.0	343974.0	2344861.0	0.004295171	139.0	139.0	139.0	151.0	151.0	151.0	39.0	199.8	91.1	1605052.0	307721.0	49439.0	13851.0	95.9	99.97367020630823	99.96029032075305	0.026329793691775995	95.86720880917501	100.0	0.06179028433142053	3.6654563223879633	0.0
P33410_1020.md	3953396.0	0.0	3953396.0	1.0	1976698.0	1976698.0	3951921.0	3950924.0	1475.0	3776838.0	3953396.0	3462.0	107874.0	0.0	0.0	193701.0	554670008.0	277110258.0	277559750.0	554572550.0	552467275.0	0.0	497961.0	2262525.0	0.00409531	140.0	140.0	140.0	151.0	151.0	151.0	39.1	212.0	95.9	1640135.0	265439.0	54886.0	15002.0	95.5	99.96269030474053	99.937471480216	0.03730969525946806	95.53401683008734	100.0	0.08757028134798538	2.7286414009626156	0.0
P33410_1021.md	3950406.0	0.0	3950406.0	1.0	1975203.0	1975203.0	3949380.0	3948762.0	1026.0	3787278.0	3950406.0	2465.0	127680.0	0.0	0.0	184891.0	548227660.0	273940353.0	274287307.0	548139024.0	546030531.0	0.0	347799.0	2300932.0	0.004213925	139.0	139.0	139.0	151.0	151.0	151.0	39.0	204.6	94.7	1615776.0	295378.0	49008.0	14219.0	95.9	99.97402798598422	99.9583840243256	0.025972014015774585	95.87060165461475	100.0	0.06239864965778201	3.2320728552963924	0.0
P33410_1022.md	3951804.0	0.0	3951804.0	1.0	1975902.0	1975902.0	3950820.0	3950274.0	984.0	3792436.0	3951804.0	2650.0	118285.0	0.0	0.0	181820.0	551042598.0	275355061.0	275687537.0	550957932.0	549028276.0	0.0	378989.0	2246929.0	0.004092556	139.0	139.0	140.0	151.0	151.0	151.0	39.0	204.8	92.9	1624628.0	288475.0	49352.0	12682.0	96.0	99.97509997965486	99.96128350495115	0.024900020345138576	95.96720890003654	100.0	0.06705798162054596	2.9931899456551996	0.0
P33410_1024.md	3954260.0	0.0	3954260.0	1.0	1977130.0	1977130.0	3953521.0	3953076.0	739.0	3817024.0	3954260.0	2653.0	102606.0	0.0	0.0	157202.0	551710372.0	275712078.0	275998294.0	551649699.0	549972683.0	0.0	377878.0	2149999.0	0.003909283	140.0	139.0	140.0	151.0	151.0	151.0	39.0	203.5	91.6	1630613.0	293295.0	41910.0	10720.0	96.5	99.98131129465438	99.97005760875612	0.01868870534562725	96.52941384734439	100.0	0.06709219929898388	2.594821787135899	0.0
