Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P33410_1016-L003_2	P33410_1016-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2000938.0	302.1 Mbp	0.0	151.0	41.0	99.11960280553053	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1017-L003_1	P33410_1017-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2001864.0	302.2 Mbp	0.0	151.0	42.0	99.30460077437324	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
P33410_1017-L003_2	P33410_1017-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2001864.0	302.2 Mbp	0.0	151.0	42.0	99.06161321756795	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1018-L003_1	P33410_1018-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2001641.0	302.2 Mbp	0.0	151.0	42.0	99.32232286272085	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
P33410_1018-L003_2	P33410_1018-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2001641.0	302.2 Mbp	0.0	151.0	42.0	99.16815805454792	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1019-L003_1	P33410_1019-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2002010.0	302.3 Mbp	0.0	151.0	42.0	99.34027474204052	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	fail
P33410_1019-L003_2	P33410_1019-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2002010.0	302.3 Mbp	0.0	151.0	42.0	99.15348495215281	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail
P33410_1020-L003_1	P33410_1020-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2002005.0	302.3 Mbp	0.0	151.0	41.0	99.2730870295536	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	fail
P33410_1020-L003_2	P33410_1020-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2002005.0	302.3 Mbp	0.0	151.0	41.0	99.0676660631209	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1021-L003_1	P33410_1021-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2001148.0	302.1 Mbp	0.0	151.0	42.0	99.31456270773812	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1021-L003_2	P33410_1021-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2001148.0	302.1 Mbp	0.0	151.0	42.0	99.10235261603238	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1022-L003_1	P33410_1022-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2001571.0	302.2 Mbp	0.0	151.0	42.0	99.43158239383084	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1022-L003_2	P33410_1022-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2001571.0	302.2 Mbp	0.0	151.0	42.0	99.21218611043521	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
P33410_1024-L003_1	P33410_1024-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	2001616.0	302.2 Mbp	0.0	151.0	41.0	99.49131429765873	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1024-L003_2	P33410_1024-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	2001616.0	302.2 Mbp	0.0	151.0	42.0	99.2670404378872	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail
