Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_adapter	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage
P33410_1010.md															0.004166786	0.0	78840878.0	99.98364821406388	96.471349525296	3.0816699548627806	78853772.0	73.0	27.0	10.0	0	0	2
P33410_1011-L003							0.6529090000000001	0.948719	10624508485.0	79005222.0	0.414856	98.76550775379252	26.348924525962524														
P33410_1011-L003.md														0.011161													
P33410_1011-L003_1	4.25796057091587	42.0	151.0	151	18.181818181818183	39996363.0																					
P33410_1011-L003_2	4.723268457642234	42.0	151.0	151	18.181818181818183	39996363.0																					
P33410_1011.md															0.004149046	0.0	78989254.0	99.97978867776614	96.48743977961357	3.384950934002818	79005222.0	61.0	24.0	11.0	1.0	0	1
P33410_1012-L003							0.610137	0.946064	10676353391.0	79014276.0	0.41692	98.77751037939062	24.300932846279007														
P33410_1012-L003.md														0.011527													
P33410_1012-L003_1	2.809739580454959	42.0	151.0	151	18.181818181818183	39996086.0																					
P33410_1012-L003_2	3.165357627919235	42.0	151.0	151	18.181818181818183	39996086.0																					
P33410_1012.md															0.004195497	0.0	79002584.0	99.98520267400792	96.88886347575975	3.128468835176064	79014276.0	90.0	30.0	3.0	0	0	3
P33410_1013-L003							1.05945	0.94979	10436098890.0	78968438.0	0.410767	98.72352717573543	26.52543993221509														
P33410_1013-L003.md														0.010766													
P33410_1013-L003_1	2.9602401574437778	41.0	151.0	151	18.181818181818183	39994741.0																					
P33410_1013-L003_2	3.252629052888551	42.0	151.0	151	18.181818181818183	39994741.0																					
P33410_1013.md															0.004155132	0.0	78949017.0	99.975406630178	96.00208376921422	3.0310755291880027	78968438.0	90.0	28.999999999999996	2.0	0	0	3
P33410_1014-L003							1.1323400000000001	0.949351	10433787773.0	78973874.0	0.409933	98.72739294860217	26.74402129136746														
P33410_1014-L003.md														0.012209													
P33410_1014-L003_1	3.108828312640881	42.0	151.0	151	18.181818181818183	39995928.0																					
P33410_1014-L003_2	3.3386268439604976	42.0	151.0	151	18.181818181818183	39995928.0																					
P33410_1014.md															0.004190725	0.0	78953751.0	99.97451942144816	95.98431248288516	3.0749422270965208	78973874.0	89.0	28.999999999999996	2.0	0	0	3
