Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P33410_1014-L003_1	P33410_1014-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39995928.0	6 Gbp	0.0	151.0	42.0	96.89117168735912	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1014-L003_2	P33410_1014-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39995928.0	6 Gbp	0.0	151.0	42.0	96.6613731560395	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail
P33410_1015-L003_1	P33410_1015-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39996572.0	6 Gbp	0.0	151.0	42.0	97.00511774416196	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1015-L003_2	P33410_1015-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39996572.0	6 Gbp	0.0	151.0	42.0	96.71741945899129	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
P33410_1016-L003_1	P33410_1016-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39989132.0	6 Gbp	0.0	151.0	41.0	96.87679993418064	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1016-L003_2	P33410_1016-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39989132.0	6 Gbp	0.0	151.0	41.0	96.55579007128145	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1017-L003_1	P33410_1017-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39995564.0	6 Gbp	0.0	151.0	42.0	97.0388358191903	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail
P33410_1017-L003_2	P33410_1017-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39995564.0	6 Gbp	0.0	151.0	42.0	96.74989626886187	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1018-L003_1	P33410_1018-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39993319.0	6 Gbp	0.0	151.0	42.0	96.93820539248004	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
P33410_1018-L003_2	P33410_1018-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39993319.0	6 Gbp	0.0	151.0	42.0	96.68634729943022	151.0	151	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	fail
P33410_1019-L003_1	P33410_1019-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39992591.0	6 Gbp	0.0	151.0	42.0	96.67946179342586	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	fail
P33410_1019-L003_2	P33410_1019-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39992591.0	6 Gbp	0.0	151.0	42.0	96.41454830694394	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail
P33410_1020-L003_1	P33410_1020-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	40000768.0	6 Gbp	0.0	151.0	41.0	96.58865539850406	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	fail
P33410_1020-L003_2	P33410_1020-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	40000768.0	6 Gbp	0.0	151.0	41.0	96.33568374196246	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1021-L003_1	P33410_1021-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39993144.0	6 Gbp	0.0	151.0	42.0	96.99032128278805	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1021-L003_2	P33410_1021-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39993144.0	6 Gbp	0.0	151.0	42.0	96.67959813466585	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	fail
P33410_1022-L003_1	P33410_1022-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39992970.0	6 Gbp	0.0	151.0	42.0	97.10963643507469	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1022-L003_2	P33410_1022-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39992970.0	6 Gbp	0.0	151.0	42.0	96.79251459533475	151.0	151	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
P33410_1024-L003_1	P33410_1024-L003_1.gz	Conventional base calls	Sanger / Illumina 1.9	39992869.0	6 Gbp	0.0	151.0	41.0	97.34993189434829	151.0	151	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	fail
P33410_1024-L003_2	P33410_1024-L003_2.gz	Conventional base calls	Sanger / Illumina 1.9	39992869.0	6 Gbp	0.0	151.0	42.0	97.11007331836868	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail
