Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P33410_1012.md	79014276.0	0.0	79014276.0	1.0	39507138.0	39507138.0	79002584.0	78998322.0	11692.0	76556034.0	79014276.0	910670.0	2471937.0	0.0	0.0	2054773.0	11285016931.0	5641586747.0	5643430184.0	11283550539.0	11251138322.0	0.0	126980548.0	47204125.0	0.004195497	143.0	143.0	143.0	151.0	151.0	151.0	38.9	218.4	99.9	33454445.0	5044193.0	665528.0	334995.0	96.9	99.98520267400792	99.97980871203579	0.014797325992077686	96.88886347575975	100.0	1.1525385615126056	3.128468835176064	0.0
P33410_1013.md	78968438.0	0.0	78968438.0	1.0	39484219.0	39484219.0	78949017.0	78937308.0	19421.0	75811346.0	78968438.0	849928.0	2393593.0	0.0	0.0	3423901.0	10987799784.0	5490410484.0	5497389300.0	10986198582.0	10947348288.0	0.0	120381613.0	45487685.0	0.004155132	139.0	139.0	139.0	151.0	151.0	151.0	39.0	208.4	96.5	32566580.0	5672913.0	945521.0	283640.0	96.0	99.975406630178	99.96057918734572	0.024593369822004076	96.00208376921422	100.0	1.076288225430013	3.0310755291880027	0.0
P33410_1014.md	78973874.0	0.0	78973874.0	1.0	39486937.0	39486937.0	78953751.0	78942466.0	20123.0	75802530.0	78973874.0	963956.0	2428401.0	0.0	0.0	3622518.0	10990447922.0	5491937105.0	5498510817.0	10988663849.0	10949449365.0	0.0	135632159.0	45886135.0	0.004190725	139.0	139.0	139.0	151.0	151.0	151.0	39.0	205.4	92.9	32488142.0	5734231.0	980994.0	267866.0	96.0	99.97451942144816	99.96022988564548	0.02548057855183855	95.98431248288516	100.0	1.220601131964224	3.0749422270965208	0.0
P33410_1015.md	78981632.0	0.0	78981632.0	1.0	39490816.0	39490816.0	78961244.0	78949456.0	20388.0	75890742.0	78981632.0	833407.0	2448332.0	0.0	0.0	3521614.0	10906325636.0	5449422775.0	5456902861.0	10904608028.0	10865078713.0	0.0	116718743.0	45095722.0	0.00415052	138.0	138.0	138.0	151.0	151.0	151.0	39.0	202.6	94.8	32129395.0	6137160.0	927433.0	280740.0	96.1	99.97418640323866	99.95926141409689	0.025813596761333067	96.08657111567408	100.0	1.0551909081848296	3.099875170976462	0.0
P33410_1016.md	78879432.0	0.0	78879432.0	1.0	39439716.0	39439716.0	78857419.0	78844510.0	22013.0	75359792.0	78879432.0	956391.0	2255471.0	0.0	0.0	3751169.0	11144083650.0	5568935690.0	5575147960.0	11142237681.0	11103550387.0	0.0	136409296.0	45895399.0	0.004133399	141.0	141.0	141.0	151.0	151.0	151.0	39.0	215.8	96.0	33053790.0	4981200.0	1095615.0	291650.0	95.5	99.97209285178423	99.95572736882791	0.02790714821577316	95.5379496140388	100.0	1.2124719660760235	2.859390518937814	0.0
P33410_1017.md	78900530.0	0.0	78900530.0	1.0	39450265.0	39450265.0	78875071.0	78857862.0	25459.0	75651230.0	78900530.0	690032.0	2535673.0	0.0	0.0	3679538.0	10927723774.0	5459429021.0	5468294753.0	10925950361.0	10884374910.0	0.0	97222995.0	45513786.0	0.004181571	138.0	138.0	139.0	151.0	151.0	151.0	39.0	203.5	94.6	32163587.0	6006701.0	971088.0	287555.0	95.9	99.96773278962765	99.94592178278143	0.03226721037235111	95.88177671303349	100.0	0.8745593977632342	3.21375914711853	0.0
P33410_1018.md	79010834.0	0.0	79010834.0	1.0	39505417.0	39505417.0	78992295.0	78981990.0	18539.0	75827498.0	79010834.0	803234.0	2419700.0	0.0	0.0	3688054.0	11005238819.0	5499476562.0	5505762257.0	11003617785.0	10965401712.0	0.0	112841147.0	44549736.0	0.004062755	139.0	139.0	139.0	151.0	151.0	151.0	39.0	204.2	92.9	32432485.0	5830798.0	975978.0	251734.0	96.0	99.97653612920982	99.96349361405298	0.023463870790175433	95.97101329167086	100.0	1.0166124812706063	3.062491404659771	0.0
P33410_1019.md	78982546.0	0.0	78982546.0	1.0	39491273.0	39491273.0	78961515.0	78951010.0	21031.0	75712520.0	78982546.0	801003.0	2875563.0	0.0	0.0	3891381.0	10950068020.0	5471874901.0	5478193119.0	10948107946.0	10907158645.0	0.0	111956820.0	46703694.0	0.004281931	139.0	139.0	139.0	151.0	151.0	151.0	39.0	199.7	91.0	32065384.0	6144307.0	988138.0	277676.0	95.9	99.9733725980421	99.96007219113955	0.026627401957895862	95.85981186273736	100.0	1.0141519114868747	3.640757541545951	0.0
P33410_1020.md	78986298.0	0.0	78986298.0	1.0	39493149.0	39493149.0	78957368.0	78937630.0	28930.0	75443332.0	78986298.0	1046585.0	2172056.0	0.0	0.0	3867174.0	11080516127.0	5535845288.0	5544670839.0	11078568136.0	11036334329.0	0.0	148387378.0	45217971.0	0.004097191	140.0	140.0	140.0	151.0	151.0	151.0	39.1	212.0	95.9	32762608.0	5305069.0	1100118.0	301020.0	95.5	99.96337339420566	99.93838424988597	0.03662660579433663	95.51445492482759	100.0	1.3250209549003042	2.7499149282828776	0.0
P33410_1021.md	78957716.0	0.0	78957716.0	1.0	39478858.0	39478858.0	78936879.0	78924756.0	20837.0	75704324.0	78957716.0	812309.0	2561352.0	0.0	0.0	3696414.0	10956437598.0	5474743163.0	5481694435.0	10954606977.0	10912540680.0	0.0	114227052.0	46149883.0	0.004229069	139.0	139.0	139.0	151.0	151.0	151.0	39.0	204.5	94.6	32275585.0	5922660.0	980475.0	283658.0	95.9	99.97360992559614	99.95825613800683	0.0263900744038746	95.87957686111388	100.0	1.0287898905282418	3.2439540171096133	0.0
P33410_1022.md	78959454.0	0.0	78959454.0	1.0	39479727.0	39479727.0	78940120.0	78929218.0	19334.0	75793726.0	78959454.0	865545.0	2356984.0	0.0	0.0	3620422.0	11008433768.0	5500969495.0	5507464273.0	11006769790.0	10968479942.0	0.0	121794630.0	44903647.0	0.004093881	139.0	139.0	140.0	151.0	151.0	151.0	39.0	204.7	92.9	32465162.0	5765559.0	982593.0	251295.0	96.0	99.97551401507918	99.96170692872319	0.024485984920817713	95.99069162762954	100.0	1.096189190973889	2.985056102338296	0.0
P33410_1024.md	79014582.0	0.0	79014582.0	1.0	39507291.0	39507291.0	78999404.0	78990424.0	15178.0	76270058.0	79014582.0	879840.0	2046915.0	0.0	0.0	3141146.0	11024831504.0	5509540577.0	5515290927.0	11023557392.0	10989645698.0	0.0	124070246.0	42994300.0	0.003912255	140.0	139.0	140.0	151.0	151.0	151.0	39.0	203.4	91.5	32585601.0	5854619.0	839806.0	215186.0	96.5	99.98079088743391	99.96942589660223	0.019209112566083056	96.52656012278847	100.0	1.1135159836699509	2.590553475306621	0.0
