TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	804852165.0	804775309.8	804947143.8
2000000000.0	1338141895.0	1338021530.8	1338272693.2
3000000000.0	1704311970.5	1704159121.0	1704454713.1
4000000000.0	1963133493.8	1962914565.9	1963303724.5
5000000000.0	2150729476.6	2150407999.7	2150987791.4
6000000000.0	2289719496.6	2289268185.4	2290090281.2
7000000000.0	2394740423.5	2393842663.9	2395534769.1
8000000000.0	2475561178.8	2473814408.3	2476927562.5
9000000000.0	2538806568.7	2536313397.6	2541053391.1
10000000000.0	2588950578.2	2585852974.5	2592495369.8
11000000000.0	2629285212.3	2625416901.3	2634523039.8
12000000000.0	2662365318.0	2657325080.7	2669485600.0
13000000000.0	2689597402.5	2683406844.4	2699091107.3
14000000000.0	2712296004.0	2704937401.1	2724596074.1
15000000000.0	2731652561.9	2722875450.2	2746934489.9
16000000000.0	2747963437.5	2737950153.2	2766807055.3
17000000000.0	2761945151.3	2750722068.6	2784743807.6
18000000000.0	2774547496.7	2761668289.8	2801148656.9
19000000000.0	2785346275.1	2771125215.7	2816649651.8
20000000000.0	2795064128.7	2779380227.4	2831277483.2
21000000000.0	2803507760.4	2786459890.0	2845161083.6
22000000000.0	2811139949.6	2792654410.5	2858442432.5
23000000000.0	2818134531.8	2797930459.6	2871231993.8
24000000000.0	2824214995.7	2802567022.3	2883617263.1
25000000000.0	2829736867.7	2806662229.8	2895523142.7
26000000000.0	2834867105.1	2810294409.0	2906739812.6
27000000000.0	2839787986.0	2813528666.7	2917655620.4
28000000000.0	2844355996.6	2816419413.0	2928305093.9
29000000000.0	2848485639.4	2819012350.3	2938715886.6
30000000000.0	2852207096.0	2821346053.1	2948910236.3
31000000000.0	2855676217.4	2823451480.6	2958906103.3
32000000000.0	2858920293.5	2825357296.1	2968718063.3
33000000000.0	2862264121.1	2827088243.6	2978358008.0
34000000000.0	2865612143.8	2828672343.9	2987835698.9
35000000000.0	2869176755.9	2830168031.4	2997159204.3
36000000000.0	2872620438.7	2831543134.8	3006595246.7
37000000000.0	2875953679.3	2832810715.5	3016540575.9
38000000000.0	2879185536.3	2833980245.6	3026419272.0
39000000000.0	2882323869.8	2835062501.4	3036226072.8
40000000000.0	2885324453.5	2836067161.8	3045962581.4
41000000000.0	2887862637.2	2837001868.6	3055629948.9
42000000000.0	2890315714.7	2837873353.5	3065228975.1
43000000000.0	2892689389.0	2838687562.5	3074760190.1
44000000000.0	2894899406.9	2839449761.6	3084223919.1
45000000000.0	2896854122.2	2840164626.7	3093620335.2
46000000000.0	2898740191.1	2840836319.5	3102949500.9
47000000000.0	2900561830.1	2841468553.4	3112211401.7
48000000000.0	2902322875.4	2842064649.0	3122375995.3
49000000000.0	2904026827.0	2842627582.3	3132625995.3
50000000000.0	2905676886.1	2843105673.7	3142846143.0
51000000000.0	2907275989.0	2843543468.7	3153034698.5
52000000000.0	2908934507.9	2843955562.3	3163189973.9
53000000000.0	2910593751.5	2844343969.4	3173310342.3
54000000000.0	2912209639.5	2844710513.3	3183394243.3
55000000000.0	2913784150.1	2845056847.2	3193440188.1
56000000000.0	2915319120.9	2845384472.6	3203446761.5
57000000000.0	2916816261.8	2845694755.0	3213412624.0
58000000000.0	2918277168.1	2845988938.8	3223336512.0
59000000000.0	2919703330.7	2846267841.4	3233217237.9
60000000000.0	2921096145.2	2846529513.7	3243053689.0
61000000000.0	2922456921.1	2846778241.7	3252844826.5
62000000000.0	2923786888.6	2847014896.5	3262589683.5
63000000000.0	2925087205.6	2847240277.5	3272287362.9
64000000000.0	2926358963.6	2847455119.5	3281937035.6
65000000000.0	2927603192.7	2847660098.2	3291537937.9
66000000000.0	2928820867.1	2847855836.3	3301089369.3
67000000000.0	2930012908.7	2848036848.4	3310590689.3
68000000000.0	2931180191.4	2848188162.6	3320041315.7
69000000000.0	2932323544.3	2848332099.0	3329440721.6
70000000000.0	2933443755.3	2848469114.4	3338252811.8
71000000000.0	2934541573.8	2848599631.6	3346553034.6
72000000000.0	2935617713.1	2848724042.4	3354783422.5
73000000000.0	2936672853.2	2848842710.4	3362944353.0
74000000000.0	2937707642.7	2848955973.0	3371036226.5
75000000000.0	2938722701.0	2849064143.8	3379059465.1
76000000000.0	2939718619.8	2849167514.6	3387014510.2
77000000000.0	2940695965.3	2849266357.0	3394901820.7
78000000000.0	2941655279.5	2849360924.3	3402721872.1
79000000000.0	2942597081.4	2849451452.5	3410475154.0
80000000000.0	2943521868.6	2849538162.0	3418162169.6
81000000000.0	2944430118.6	2849621258.8	3425783433.4
82000000000.0	2945322289.6	2849700935.4	3433339470.8
83000000000.0	2946198821.8	2849777372.1	3440830816.3
84000000000.0	2947060138.3	2849850737.5	3448258012.7
85000000000.0	2947906646.1	2849921189.8	3455621609.9
86000000000.0	2948738736.7	2849988877.4	3462922163.9
87000000000.0	2949579354.2	2850053939.3	3470160235.9
88000000000.0	2950439275.0	2850116506.5	3477336391.8
89000000000.0	2951285412.1	2850176701.6	3484451200.6
90000000000.0	2952118101.6	2850234640.4	3491505234.6
91000000000.0	2952937667.8	2850290431.6	3498499067.9
92000000000.0	2953744424.3	2850344177.5	3505433276.5
93000000000.0	2954538674.5	2850395974.8	3512364750.6
94000000000.0	2955320711.5	2850445914.4	3519277406.5
95000000000.0	2956090819.2	2850494082.2	3526132821.2
96000000000.0	2956849272.3	2850540559.2	3532931537.1
97000000000.0	2957596336.8	2850585422.1	3539674096.8
98000000000.0	2958332270.4	2850628743.2	3546361042.3
