TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	644731665.0	644686590.8	644775098.0
2000000000.0	976873050.0	976819056.2	976950238.5
3000000000.0	1190398975.9	1190328997.8	1190510216.4
4000000000.0	1342971333.2	1342880686.7	1343118212.8
5000000000.0	1459232283.4	1459056738.3	1459417501.9
6000000000.0	1551913497.1	1551519449.4	1552244212.3
7000000000.0	1627818208.4	1626449006.5	1629644940.7
8000000000.0	1691508553.0	1689304974.4	1694331682.4
9000000000.0	1746040299.3	1743210065.4	1749387491.5
10000000000.0	1793439701.3	1789690231.0	1797780640.3
11000000000.0	1835139554.6	1830320215.5	1840748519.6
12000000000.0	1872040246.0	1866193984.9	1879348433.2
13000000000.0	1905172423.8	1898133058.2	1913990530.9
14000000000.0	1934991895.8	1926774504.5	1945518409.6
15000000000.0	1962078674.1	1952620951.4	1974634094.7
16000000000.0	1986813548.5	1975996927.5	2001529812.0
17000000000.0	2009490308.0	1997247803.5	2026507790.8
18000000000.0	2030400269.2	2016699330.5	2049814595.9
19000000000.0	2049745786.7	2034575651.1	2071735081.2
20000000000.0	2067741011.0	2051064450.8	2092498418.5
21000000000.0	2084498451.9	2066324203.0	2112142112.7
22000000000.0	2100078795.5	2080489728.2	2130786093.2
23000000000.0	2114584671.7	2093676514.1	2148532498.9
24000000000.0	2128259395.6	2105984109.1	2165468911.3
25000000000.0	2141191671.8	2117498817.3	2181670903.8
26000000000.0	2153218678.1	2128295858.0	2197204070.1
27000000000.0	2164530691.2	2138441111.2	2212125653.3
28000000000.0	2175216882.0	2147992539.7	2226485863.0
29000000000.0	2185328991.3	2157001356.5	2240328949.8
30000000000.0	2194885069.3	2165512989.8	2253694087.1
31000000000.0	2203956985.3	2173567884.9	2266616099.7
32000000000.0	2212580027.0	2181121271.0	2279126069.1
33000000000.0	2220787310.5	2188250920.1	2291251840.4
34000000000.0	2228610898.2	2195024256.2	2303018447.1
35000000000.0	2236132663.9	2201467553.7	2314448471.4
36000000000.0	2243372843.4	2207604545.0	2325562348.3
37000000000.0	2250327727.1	2213456722.7	2336378626.7
38000000000.0	2256990921.8	2219043600.4	2346914191.5
39000000000.0	2263380781.6	2224382936.3	2357184455.5
40000000000.0	2269514122.2	2229490927.9	2367203524.2
41000000000.0	2275470514.6	2234382381.0	2376984339.5
42000000000.0	2281212731.0	2239070856.8	2386538803.9
43000000000.0	2286741632.3	2243568800.7	2395877888.9
44000000000.0	2292069168.8	2247887655.5	2405034773.0
45000000000.0	2297206395.4	2252037961.0	2414122295.9
46000000000.0	2302001009.8	2256029441.7	2423028842.2
47000000000.0	2306624297.7	2259871084.4	2431762326.9
48000000000.0	2311087288.7	2263571207.5	2440330110.3
49000000000.0	2315398297.1	2267137522.2	2448340601.4
50000000000.0	2319545958.6	2270577186.9	2454632527.0
51000000000.0	2323497836.4	2273896856.4	2460771212.9
52000000000.0	2327319657.8	2277102725.5	2466763985.5
53000000000.0	2331156918.2	2280200568.0	2472633034.6
54000000000.0	2334882683.0	2283195772.4	2478690269.8
55000000000.0	2338494655.5	2286093373.4	2486053832.8
56000000000.0	2341998029.6	2288898080.6	2493297113.0
57000000000.0	2345397683.9	2291614304.2	2500424238.0
58000000000.0	2348698206.4	2294246179.1	2507439103.6
59000000000.0	2351903915.2	2296797585.3	2514345391.6
60000000000.0	2355018879.1	2299272168.2	2521146585.3
61000000000.0	2358046934.8	2301673355.1	2527845984.2
62000000000.0	2360991703.8	2304004372.5	2534446717.6
63000000000.0	2363856607.1	2306268259.4	2540951755.8
64000000000.0	2366644879.5	2308467881.8	2547363921.7
65000000000.0	2369359581.7	2310605944.3	2553685900.8
66000000000.0	2372003612.1	2312685001.3	2559920250.0
67000000000.0	2374579717.7	2314707467.8	2566069406.7
68000000000.0	2377090503.7	2316675628.1	2572135695.9
69000000000.0	2379538442.8	2318591645.3	2578121337.7
70000000000.0	2381925883.4	2320457568.7	2584028453.9
71000000000.0	2384255057.4	2322275341.3	2589859073.9
72000000000.0	2386528087.7	2324046806.8	2595615140.4
73000000000.0	2388746994.3	2325773715.8	2601298514.3
74000000000.0	2390913700.9	2327457731.5	2606910980.1
75000000000.0	2393030040.5	2329100435.3	2612454249.8
76000000000.0	2395097760.6	2330703331.4	2617929967.0
77000000000.0	2397118528.4	2332267852.2	2623577247.9
78000000000.0	2399093935.1	2333795361.6	2629356605.5
79000000000.0	2401025500.4	2335287159.7	2635080960.2
80000000000.0	2402914676.6	2336744486.4	2640751539.3
81000000000.0	2404762852.0	2338168524.7	2646369521.5
82000000000.0	2406571354.6	2339560403.9	2651936039.8
83000000000.0	2408341455.4	2340921202.9	2657452184.0
84000000000.0	2410074371.4	2342251952.6	2662919003.1
85000000000.0	2411771268.3	2343553638.8	2668337507.2
86000000000.0	2413433263.5	2344827204.8	2673708669.6
87000000000.0	2415061428.3	2346073553.1	2679033428.6
88000000000.0	2416656790.4	2347293548.3	2684312689.8
89000000000.0	2418220336.0	2348488018.4	2689547326.9
90000000000.0	2419753012.2	2349657757.1	2694738183.8
91000000000.0	2421255728.5	2350803525.8	2699886075.9
92000000000.0	2422729358.8	2351926054.4	2704991791.8
93000000000.0	2424174743.5	2353026043.9	2710056093.9
94000000000.0	2425592690.3	2354104167.1	2715079720.0
95000000000.0	2426983976.8	2355161070.3	2720063384.8
96000000000.0	2428349350.9	2356197374.6	2725007780.3
97000000000.0	2429689532.9	2357213676.9	2729913577.1
98000000000.0	2431005216.6	2358210551.6	2734781425.4
99000000000.0	2432297070.2	2359188550.9	2739611956.0
