TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	654200485.0	654151661.8	654241645.2
2000000000.0	991518955.0	991433052.5	991578594.2
3000000000.0	1206029381.4	1205914025.7	1206109509.6
4000000000.0	1357561441.6	1357433746.7	1357681808.6
5000000000.0	1471795985.1	1471620340.0	1471971723.8
6000000000.0	1561959730.8	1561397941.3	1562361021.6
7000000000.0	1635082865.0	1633480472.0	1637760928.4
8000000000.0	1695820132.9	1693820435.7	1701981002.8
9000000000.0	1747345261.4	1744774282.9	1754175469.4
10000000000.0	1791750472.3	1788612980.8	1798821914.5
11000000000.0	1830473967.9	1826694763.6	1837815327.3
12000000000.0	1864601208.2	1860122843.4	1873035160.1
13000000000.0	1894830824.1	1889693596.2	1904614193.3
14000000000.0	1922031078.3	1915998328.3	1933148871.2
15000000000.0	1946513441.3	1939617297.7	1958905902.9
16000000000.0	1968610436.9	1960950148.5	1982703852.5
17000000000.0	1988841214.2	1980319711.5	2004718222.0
18000000000.0	2007382136.5	1997989827.9	2024918121.5
19000000000.0	2024324864.9	2014178394.6	2043666634.2
20000000000.0	2040045243.5	2029067065.1	2061133440.6
21000000000.0	2054489239.1	2042808570.5	2077461315.1
22000000000.0	2067978118.4	2055532094.1	2093012181.6
23000000000.0	2080519521.7	2067343499.1	2107877949.4
24000000000.0	2092243879.4	2078342424.8	2121597827.2
25000000000.0	2103267811.8	2088610812.5	2134012100.0
26000000000.0	2113613772.2	2098219835.4	2145938608.7
27000000000.0	2123343798.1	2107231626.5	2157870478.3
28000000000.0	2132436046.6	2115700681.9	2169635954.1
29000000000.0	2141006500.2	2123675008.3	2180930187.0
30000000000.0	2149107027.3	2131197068.4	2191792031.0
31000000000.0	2156775809.5	2138304564.4	2202255954.8
32000000000.0	2164046945.9	2145031091.8	2212352654.0
33000000000.0	2170950991.6	2151406687.1	2222109563.0
34000000000.0	2177550648.9	2157458289.9	2231551285.0
35000000000.0	2183850788.4	2163210134.7	2240699955.3
36000000000.0	2189857693.3	2168684083.6	2249575549.6
37000000000.0	2195591626.3	2173899911.7	2258218087.2
38000000000.0	2201071003.4	2178875551.2	2266647215.1
39000000000.0	2206312602.3	2183627302.6	2274854602.1
40000000000.0	2211331741.9	2188170017.0	2282853771.0
41000000000.0	2216142439.4	2192517254.2	2290657080.3
42000000000.0	2220757546.9	2196681421.1	2298275850.1
43000000000.0	2225188871.1	2200673891.6	2305720471.9
44000000000.0	2229447278.3	2204505113.1	2313000504.0
45000000000.0	2233542787.4	2208184698.7	2320124756.1
46000000000.0	2237484650.9	2211721509.3	2327101363.1
47000000000.0	2241281428.2	2215123726.4	2333937850.0
48000000000.0	2244941049.3	2218398915.7	2340641190.6
49000000000.0	2248470872.2	2221554084.5	2347217857.8
50000000000.0	2251877733.7	2224595732.4	2353673869.7
51000000000.0	2255167995.6	2227529896.4	2360014830.0
52000000000.0	2258347585.0	2230362191.7	2366245964.3
53000000000.0	2261422031.3	2233097848.1	2372372152.9
54000000000.0	2264366708.0	2235741742.1	2378397959.2
55000000000.0	2267214106.6	2238298426.8	2384327656.8
56000000000.0	2269971704.5	2240772158.4	2390165252.2
57000000000.0	2272643708.3	2243166919.5	2395914506.8
58000000000.0	2275234064.5	2245486441.4	2401578955.7
59000000000.0	2277746479.4	2247734223.4	2407161925.5
60000000000.0	2280184437.0	2249913550.5	2412666549.8
61000000000.0	2282551215.8	2252027509.7	2418095783.5
62000000000.0	2284849903.5	2254079005.0	2423452416.5
63000000000.0	2287083411.0	2256070770.2	2428739084.8
64000000000.0	2289254484.9	2258005381.8	2433958281.9
65000000000.0	2291365718.8	2259885269.7	2439112368.7
66000000000.0	2293419564.0	2261712727.9	2444203582.5
67000000000.0	2295418339.2	2263489923.6	2449234045.4
68000000000.0	2297364239.3	2265218905.9	2454205772.0
69000000000.0	2299259343.5	2266901614.2	2459120676.5
70000000000.0	2301105623.1	2268539884.5	2463980578.9
71000000000.0	2302904948.3	2270135457.2	2468787211.5
72000000000.0	2304659094.6	2271689982.7	2473542224.0
73000000000.0	2306369748.7	2273205027.4	2478247188.7
74000000000.0	2308038514.1	2274682078.6	2482903605.3
75000000000.0	2309666916.3	2276122550.0	2487512905.2
76000000000.0	2311256407.2	2277527785.7	2492076455.6
77000000000.0	2312808369.6	2278899065.0	2496595563.1
78000000000.0	2314324121.6	2280237605.4	2501071477.5
79000000000.0	2315804919.8	2281544567.3	2505505394.8
80000000000.0	2317251963.3	2282821056.5	2509898460.1
81000000000.0	2318666396.7	2284068127.9	2514251770.8
82000000000.0	2320049313.4	2285286788.0	2518566378.8
83000000000.0	2321401758.3	2286477998.1	2522843293.5
84000000000.0	2322724730.3	2287642676.4	2527083483.3
85000000000.0	2324019185.3	2288781700.6	2531287878.4
86000000000.0	2325286037.9	2289895909.9	2535457372.5
87000000000.0	2326526164.1	2290986107.5	2539592824.9
88000000000.0	2327740402.9	2292053062.2	2543695061.8
89000000000.0	2328929558.7	2293097510.3	2547764878.5
90000000000.0	2330094402.8	2294120157.0	2551803040.5
