TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	801655660.0	801558284.5	801721809.2
2000000000.0	1329556745.0	1329410326.8	1329644773.5
3000000000.0	1691000885.9	1690839525.6	1691104898.2
4000000000.0	1946375284.4	1946201215.1	1946530632.6
5000000000.0	2131672081.2	2131436749.4	2131910365.0
6000000000.0	2269293393.0	2268889847.3	2269707828.9
7000000000.0	2373705810.7	2372978662.8	2374577372.6
8000000000.0	2454532130.8	2453133485.6	2456890012.0
9000000000.0	2517873243.3	2515990931.2	2523382530.5
10000000000.0	2568585546.7	2565893685.3	2577095933.8
11000000000.0	2609488349.4	2605978027.7	2622452849.8
12000000000.0	2642885785.4	2638552845.9	2660841356.0
13000000000.0	2670558302.5	2665282417.3	2692573942.8
14000000000.0	2693773407.6	2687361267.2	2720080594.0
15000000000.0	2713402938.0	2705812322.1	2744863639.6
16000000000.0	2729926987.8	2721355842.1	2767411703.3
17000000000.0	2744012298.7	2734547881.5	2788310193.2
18000000000.0	2756271380.8	2745822161.1	2806612461.1
19000000000.0	2767161992.6	2755520210.7	2823285547.5
20000000000.0	2776554276.9	2763913342.2	2838580754.6
21000000000.0	2784756986.8	2771155677.3	2852700560.0
22000000000.0	2792025564.4	2777470345.7	2865819898.7
23000000000.0	2798501479.1	2783008984.4	2878109318.9
24000000000.0	2804290934.2	2787888830.8	2889638435.2
25000000000.0	2809500553.9	2792206502.4	2900497804.1
26000000000.0	2814238197.9	2796042097.2	2910762891.7
27000000000.0	2818516116.4	2799462390.2	2920497043.2
28000000000.0	2822515898.3	2802523343.3	2929753808.8
29000000000.0	2826266342.5	2805272090.6	2938578773.7
30000000000.0	2829648155.1	2807748518.9	2947868930.1
31000000000.0	2832449659.1	2809986533.0	2957845616.5
32000000000.0	2835156251.5	2812324098.2	2967593506.8
33000000000.0	2838378973.8	2814606779.2	2977129785.2
34000000000.0	2840909431.7	2816742535.6	2986469055.0
35000000000.0	2843286697.7	2818378053.2	2995707808.2
36000000000.0	2845817459.1	2819809211.4	3004833553.7
37000000000.0	2848226342.8	2821124092.6	3013800939.5
38000000000.0	2850524881.0	2822334877.5	3022617663.1
39000000000.0	2852711102.7	2823452228.7	3031290451.5
40000000000.0	2855012384.9	2824484494.5	3039825224.8
41000000000.0	2856735235.3	2825438723.8	3048227229.0
42000000000.0	2858300041.1	2826324320.4	3056739677.3
43000000000.0	2859786542.4	2827147735.7	3065677304.8
44000000000.0	2861200895.3	2827914695.2	3074512604.4
45000000000.0	2862548620.9	2828630292.2	3083247393.2
46000000000.0	2863834684.5	2829299068.4	3091084912.4
47000000000.0	2865063562.3	2829925082.4	3098205514.2
48000000000.0	2866417656.1	2830511969.2	3105201517.0
49000000000.0	2867781019.6	2831062991.1	3112076312.1
50000000000.0	2868813282.4	2831581082.0	3118833109.5
51000000000.0	2869802688.2	2832068885.4	3125474958.7
52000000000.0	2870752035.4	2832528787.7	3132004765.0
53000000000.0	2871687208.4	2832962947.1	3138425304.9
54000000000.0	2872727132.7	2833373319.1	3144739237.6
55000000000.0	2873733047.6	2833761678.5	3150949116.1
56000000000.0	2874706833.0	2834129638.4	3157057395.7
57000000000.0	2875650222.0	2834478667.8	3163066442.2
58000000000.0	2876564815.3	2834810106.5	3168978538.3
59000000000.0	2877452093.8	2835125177.8	3174795889.5
60000000000.0	2878356706.8	2835425001.0	3180520629.6
61000000000.0	2879241750.2	2835710601.3	3186154824.3
62000000000.0	2879948335.7	2835982919.1	3191700476.2
63000000000.0	2880630816.7	2836242818.0	3197159527.3
64000000000.0	2881388435.4	2836491092.6	3202533863.0
65000000000.0	2882129201.0	2836728474.5	3207825314.1
66000000000.0	2882850653.5	2836955638.3	3213035660.0
67000000000.0	2883553630.5	2837173206.7	3218166630.6
68000000000.0	2884238917.6	2837381755.5	3223219908.5
69000000000.0	2884907252.3	2837581817.4	3228197130.7
70000000000.0	2885559328.2	2837773885.8	3233099891.0
71000000000.0	2886195797.9	2837958418.5	3237929740.7
72000000000.0	2887094096.3	2838135840.3	3242688190.8
73000000000.0	2887965988.4	2838306546.3	3247376713.3
74000000000.0	2888551037.5	2838470903.8	3251996742.3
75000000000.0	2889122682.9	2838629255.0	3256549675.3
76000000000.0	2889681422.9	2838781919.0	3261036874.7
77000000000.0	2890227729.5	2838929193.4	3265459668.5
78000000000.0	2890762050.1	2839071356.2	3269819351.5
79000000000.0	2891363144.7	2839208667.2	3274117186.4
80000000000.0	2891998490.4	2839341369.7	3278369714.7
81000000000.0	2892622020.3	2839469691.2	3282596101.0
82000000000.0	2893234091.3	2839593845.4	3286764147.5
83000000000.0	2893835044.5	2839714032.3	3290874984.1
84000000000.0	2894425206.0	2839830439.9	3294929713.9
85000000000.0	2895004887.9	2839943244.8	3298929414.0
86000000000.0	2895467210.7	2840052613.2	3302875135.8
87000000000.0	2895873049.0	2840158701.1	3306767906.3
88000000000.0	2896270605.7	2840261655.9	3310608728.1
89000000000.0	2896660147.2	2840361616.3	3314398580.6
90000000000.0	2897041928.3	2840458713.0	3318138420.5
91000000000.0	2897416192.1	2840553069.4	3321829182.0
92000000000.0	2897783171.5	2840633376.3	3325471778.1
93000000000.0	2898143089.2	2840697170.1	3329067100.4
94000000000.0	2898496158.5	2840758767.2	3332616020.2
95000000000.0	2898842583.7	2840818266.6	3336119388.8
96000000000.0	2899182560.8	2840875761.6	3339578038.3
97000000000.0	2899516277.6	2840931340.8	3342992781.6
98000000000.0	2899844792.7	2840985087.6	3346364413.3
99000000000.0	2900245765.6	2841037081.4	3349693710.1
