TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	675226860.0	675174464.2	675294685.0
2000000000.0	1041498840.0	1041419942.0	1041597937.5
3000000000.0	1280336517.5	1280234955.0	1280458892.7
4000000000.0	1451304233.5	1451165842.8	1451438665.8
5000000000.0	1581053528.6	1580839343.9	1581233374.9
6000000000.0	1683573484.3	1683263869.4	1683872059.6
7000000000.0	1767019634.6	1766257999.5	1767540103.6
8000000000.0	1836495168.9	1834542138.0	1837376622.9
9000000000.0	1895403388.7	1892276493.9	1896915506.3
10000000000.0	1946115342.2	1941454182.7	1948415784.2
11000000000.0	1990307899.3	1984447915.6	1993574127.8
12000000000.0	2029237579.0	2022026857.8	2033602816.2
13000000000.0	2063800392.2	2055324967.9	2069421288.8
14000000000.0	2094710438.9	2085040012.0	2101734226.6
15000000000.0	2122576756.3	2111724905.5	2131091757.4
16000000000.0	2147903742.7	2135824257.8	2157930368.8
17000000000.0	2171022953.2	2157699650.4	2182601373.9
18000000000.0	2192083145.9	2177648069.2	2205393043.1
19000000000.0	2211370000.1	2195915663.2	2226631579.7
20000000000.0	2229263170.0	2212708160.1	2246444102.6
21000000000.0	2245726435.5	2228198840.9	2264791226.8
22000000000.0	2261012153.1	2242534705.4	2282258696.7
23000000000.0	2275246093.9	2255841287.4	2298857313.3
24000000000.0	2288536368.3	2268226449.2	2314581179.4
25000000000.0	2300976465.2	2279783397.9	2329517310.0
26000000000.0	2312647678.1	2290593103.8	2343741022.1
27000000000.0	2323529344.8	2300726253.3	2357317854.3
28000000000.0	2333736577.8	2310244839.1	2370305119.5
29000000000.0	2343395921.7	2319203204.2	2382753169.9
30000000000.0	2352543892.1	2327648580.3	2394706434.6
31000000000.0	2361200694.1	2335625165.6	2406211850.0
32000000000.0	2369405404.5	2343171142.3	2417300023.7
33000000000.0	2377193013.2	2350320636.2	2428000125.9
34000000000.0	2384594949.2	2357104243.6	2438340132.0
35000000000.0	2391639526.1	2363549478.3	2448345176.6
36000000000.0	2398352323.0	2369681151.1	2458037911.3
37000000000.0	2404775583.8	2375521695.6	2467438809.4
38000000000.0	2410967170.1	2381091446.9	2476566426.6
39000000000.0	2416890005.9	2386408882.5	2485437625.0
40000000000.0	2422561451.9	2391490830.3	2494067766.3
41000000000.0	2427997387.1	2396352649.0	2502470878.7
42000000000.0	2433212365.8	2401008385.9	2510659802.5
43000000000.0	2438237733.0	2405470914.2	2518646316.1
44000000000.0	2443086558.2	2409752053.6	2526441246.5
45000000000.0	2447751321.4	2413862676.0	2534054566.8
46000000000.0	2452242450.7	2417812799.1	2541495480.8
47000000000.0	2456569591.4	2421611668.9	2548772498.4
48000000000.0	2460741679.2	2425267832.6	2555893501.8
49000000000.0	2464767005.0	2428789203.7	2562865804.9
50000000000.0	2468653272.3	2432183119.9	2569696204.7
51000000000.0	2472407649.0	2435456394.5	2576391028.6
52000000000.0	2476036813.5	2438615362.5	2582956175.7
53000000000.0	2479546996.4	2441665922.1	2589397154.0
54000000000.0	2482944017.3	2444613571.7	2595719113.6
55000000000.0	2486233318.8	2447463443.1	2601926876.7
56000000000.0	2489419996.9	2450220332.0	2608024964.8
57000000000.0	2492508827.8	2452888724.8	2614017622.4
58000000000.0	2495504293.6	2455472823.4	2619908839.5
59000000000.0	2498410604.0	2457976567.3	2625702371.1
60000000000.0	2501231717.5	2460403653.8	2631401755.4
61000000000.0	2503971359.5	2462757556.4	2637010330.0
62000000000.0	2506633039.8	2465041541.6	2642531246.7
63000000000.0	2509220067.5	2467258684.0	2647967485.2
64000000000.0	2511735566.0	2469411880.2	2653321865.5
65000000000.0	2514182485.2	2471503861.6	2658597058.6
66000000000.0	2516563613.9	2473537206.0	2663795597.8
67000000000.0	2518881590.7	2475514348.3	2668919887.0
68000000000.0	2521138913.9	2477437590.2	2673972210.5
