TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	807091660.0	806984498.0	807198990.2
2000000000.0	1344721785.0	1344584542.5	1344890030.5
3000000000.0	1714721792.7	1714580040.4	1714915739.8
4000000000.0	1976283716.0	1976100993.0	1976530783.0
5000000000.0	2165584434.1	2165283093.3	2165924795.4
6000000000.0	2305466099.5	2304966097.6	2306006117.2
7000000000.0	2410879196.2	2410042770.7	2411720541.8
8000000000.0	2491682001.5	2490398177.4	2493157744.5
9000000000.0	2554742534.3	2552816414.4	2557275548.1
10000000000.0	2604663780.8	2601948421.8	2608756341.6
11000000000.0	2644736761.7	2641114398.7	2650877107.0
12000000000.0	2677530401.7	2672678791.3	2686278840.0
13000000000.0	2704864364.8	2698524034.7	2716747594.6
14000000000.0	2727623204.7	2719766566.9	2743475510.7
15000000000.0	2746208238.1	2737338269.9	2767375790.9
16000000000.0	2761945846.1	2752036414.8	2789132276.9
17000000000.0	2775848419.2	2764434460.6	2809246796.8
18000000000.0	2788045696.2	2774978080.0	2828087255.4
19000000000.0	2799124553.6	2784008192.2	2845922734.8
20000000000.0	2808673144.3	2791793723.0	2862949346.5
21000000000.0	2817205683.1	2798548561.5	2879309393.9
22000000000.0	2825099960.0	2804444143.2	2895105631.0
23000000000.0	2832538157.8	2809549283.4	2910411890.5
24000000000.0	2839415499.9	2814004834.8	2925281002.1
25000000000.0	2845814794.9	2817938694.6	2939750680.0
26000000000.0	2851803438.9	2821427441.0	2953847882.8
27000000000.0	2857436615.6	2824534545.5	2967592024.8
28000000000.0	2862759777.2	2827312903.4	2980997324.5
29000000000.0	2867788866.4	2829806824.9	2995017859.0
30000000000.0	2872215908.4	2832053610.9	3008838363.0
31000000000.0	2876413057.5	2834084808.7	3022442814.2
32000000000.0	2880163964.7	2835927218.2	3035833951.9
33000000000.0	2883701484.2	2837603703.1	3049013968.7
34000000000.0	2887337739.2	2839133848.0	3061984824.8
35000000000.0	2890818999.3	2840534493.4	3074748454.2
36000000000.0	2894169729.3	2841820174.1	3087306892.7
37000000000.0	2897917823.3	2843003479.1	3099662351.0
38000000000.0	2901566189.6	2844095349.3	3111817249.4
39000000000.0	2905122020.6	2845105324.1	3123774226.6
