TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	807152285.0	807067936.5	807267127.2
2000000000.0	1344515705.0	1344377595.2	1344675577.2
3000000000.0	1714082548.3	1713906348.9	1714264289.1
4000000000.0	1975238237.5	1975047973.6	1975413525.5
5000000000.0	2164216012.4	2163990872.8	2164452782.3
6000000000.0	2303902544.7	2303609847.8	2304257358.2
7000000000.0	2409174574.7	2408657643.5	2409782937.3
8000000000.0	2489929175.7	2488906676.6	2491406445.7
9000000000.0	2552843558.2	2551041842.1	2556154880.9
10000000000.0	2602656167.5	2599744189.1	2608404882.8
11000000000.0	2642522310.9	2638609436.5	2651588776.6
12000000000.0	2674965938.3	2670305367.0	2688039260.7
13000000000.0	2701768998.2	2696509136.0	2719403043.8
14000000000.0	2724040547.1	2718383602.6	2746916528.8
15000000000.0	2742663025.4	2736632217.0	2771518485.0
16000000000.0	2758436874.3	2751614767.4	2793860261.7
17000000000.0	2772014131.0	2764012170.0	2813923916.1
18000000000.0	2783707376.4	2774528371.7	2833568214.1
19000000000.0	2793753617.4	2783510227.2	2852341739.3
20000000000.0	2802540373.6	2791228752.3	2870206737.2
21000000000.0	2810412063.9	2797899879.2	2887157843.0
22000000000.0	2817546469.6	2803696988.8	2903559926.3
23000000000.0	2823752159.8	2808760311.5	2919510938.3
24000000000.0	2829240099.5	2813204041.6	2935085959.4
25000000000.0	2834298041.6	2817121771.7	2950342545.9
26000000000.0	2838893242.9	2820590674.7	2965287135.3
27000000000.0	2843087928.5	2823674750.5	2979752384.4
28000000000.0	2846934070.1	2826427362.0	2993928143.9
29000000000.0	2850470348.9	2828893232.0	3007836125.8
30000000000.0	2853679158.2	2831110024.9	3021493592.5
31000000000.0	2856648250.5	2833109607.6	3034914362.5
32000000000.0	2859404670.1	2834919060.8	3048109590.1
33000000000.0	2862078010.0	2836561493.9	3061088370.1
34000000000.0	2864815164.8	2838056707.1	3073858208.0
35000000000.0	2867404311.0	2839421729.3	3086425384.3
36000000000.0	2869707155.4	2840671259.8	3098795238.6
37000000000.0	2871800547.7	2841818031.3	3110972389.8
38000000000.0	2873781682.4	2842873109.8	3122960907.1
39000000000.0	2875660483.3	2843846143.6	3134764442.3
40000000000.0	2877445706.2	2844745571.0	3146386332.3
41000000000.0	2879145103.5	2845563937.3	3157829678.0
42000000000.0	2880849545.8	2846295799.4	3169381849.2
43000000000.0	2882504580.0	2846973355.6	3181575039.7
44000000000.0	2884093201.8	2847601775.1	3193633745.2
45000000000.0	2885620129.3	2848185642.3	3205558404.8
46000000000.0	2887089604.8	2848729032.5	3217349498.5
47000000000.0	2888505453.7	2849235576.6	3229007559.5
48000000000.0	2889871136.0	2849708517.0	3240533182.6
49000000000.0	2891189789.6	2850150755.0	3251927028.3
50000000000.0	2892415279.4	2850564892.6	3263189825.0
