TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
1000000000.0	626554710.0	626495578.2	626591999.2
2000000000.0	941479200.0	941387223.5	941556716.5
3000000000.0	1142715862.7	1142604324.7	1142819102.3
4000000000.0	1286134155.6	1285985795.6	1286262770.4
5000000000.0	1395165618.4	1394958217.6	1395361161.4
6000000000.0	1481757521.8	1481395154.8	1482104425.8
7000000000.0	1552648231.1	1552095949.7	1553914197.4
8000000000.0	1612069454.2	1611250234.1	1614291202.5
9000000000.0	1662767913.4	1661510208.0	1665301805.8
10000000000.0	1706646233.5	1704779797.4	1710546605.0
11000000000.0	1745086106.5	1742678313.7	1750365346.3
12000000000.0	1779078905.7	1776102419.1	1785809185.5
13000000000.0	1809425481.0	1805827170.4	1817667284.9
14000000000.0	1836694845.1	1832453248.5	1846509843.8
15000000000.0	1861380024.9	1856454519.2	1872509908.4
16000000000.0	1883793827.8	1878210554.4	1896158531.5
17000000000.0	1904254134.4	1898029459.9	1917815421.5
18000000000.0	1923028601.9	1916163980.8	1937736691.4
19000000000.0	1940324739.4	1932823981.6	1956134567.2
20000000000.0	1956359115.0	1948185706.8	1973186560.6
21000000000.0	1971251021.1	1962397638.7	1989042463.6
22000000000.0	1985111114.8	1975586105.5	2003829711.1
23000000000.0	1998046098.7	1987859322.8	2017929598.9
24000000000.0	2010137788.0	1999310569.6	2031607422.7
25000000000.0	2021465329.5	2010020711.4	2044555249.0
26000000000.0	2032115373.9	2020060222.0	2056841112.5
27000000000.0	2042143093.5	2029490819.4	2068985810.2
28000000000.0	2051602582.5	2038366798.1	2080560502.9
29000000000.0	2060541726.8	2046736123.5	2090761175.3
30000000000.0	2069003083.4	2054641336.5	2100496578.4
31000000000.0	2077024614.3	2062120305.3	2109802641.4
32000000000.0	2084640299.1	2069206855.6	2118768710.0
33000000000.0	2091880651.8	2075931299.6	2127391451.0
34000000000.0	2098773157.5	2082320884.3	2135673826.7
35000000000.0	2105342644.7	2088400171.8	2143639309.2
36000000000.0	2111611602.3	2094191364.3	2151309167.8
37000000000.0	2117600452.3	2099714582.6	2158938000.3
38000000000.0	2123327785.0	2104988106.0	2166454557.2
39000000000.0	2128802943.8	2110028579.2	2173725324.2
40000000000.0	2134048258.1	2114851192.1	2180764820.3
41000000000.0	2139078849.1	2119469836.0	2187586362.2
42000000000.0	2143907767.7	2123897240.7	2194202189.6
43000000000.0	2148547017.8	2128145093.1	2200623575.4
44000000000.0	2153007660.5	2132224143.0	2206860922.0
45000000000.0	2157299905.4	2136144295.5	2212923846.6
46000000000.0	2161433192.1	2139900545.9	2218821255.7
47000000000.0	2165416261.5	2143481311.7	2224561412.1
48000000000.0	2169260230.6	2146927250.0	2230151993.8
49000000000.0	2172971096.6	2150244347.8	2235600146.3
50000000000.0	2176554320.3	2153442501.5	2240912529.5
51000000000.0	2180016422.7	2156527999.1	2246095360.0
52000000000.0	2183363485.3	2159506693.1	2251154448.2
53000000000.0	2186601186.0	2162384036.8	2256095232.2
54000000000.0	2189734832.9	2165165118.5	2260922808.5
55000000000.0	2192769393.8	2167854691.3	2265641958.8
56000000000.0	2195709523.4	2170457200.2	2270257175.2
57000000000.0	2198559587.4	2172976806.7	2274772682.5
58000000000.0	2201323685.1	2175417411.4	2279192458.5
59000000000.0	2204005669.3	2177782673.4	2283520252.4
60000000000.0	2206609164.7	2180076029.6	2287759601.7
61000000000.0	2209137584.7	2182300710.7	2291913847.5
62000000000.0	2211594146.5	2184459756.8	2295986148.4
63000000000.0	2213981885.3	2186556030.8	2299979493.4
64000000000.0	2216303666.8	2188592231.7	2303896713.5
65000000000.0	2218562199.1	2190570905.9	2307740492.3
66000000000.0	2220760043.4	2192494457.8	2311513376.2
67000000000.0	2222899623.6	2194365159.5	2315217783.1
68000000000.0	2224983236.1	2196185160.0	2318856010.9
69000000000.0	2227013057.4	2197956493.3	2322430245.1
70000000000.0	2228991152.2	2199681086.0	2325942566.0
71000000000.0	2230919480.3	2201360764.4	2329394955.2
72000000000.0	2232799903.7	2202997260.6	2332789301.3
73000000000.0	2234634191.9	2204592219.1	2336127406.2
74000000000.0	2236424028.4	2206147201.7	2339410989.7
75000000000.0	2238171015.1	2207663692.9	2342641694.6
76000000000.0	2239876677.9	2209143104.6	2345821090.9
77000000000.0	2241542470.6	2210586780.4	2348950680.3
78000000000.0	2243169779.6	2211995999.9	2352031899.9
79000000000.0	2244759927.3	2213371982.2	2355066125.9
80000000000.0	2246314176.3	2214715889.6	2358054676.6
81000000000.0	2247833732.1	2216028830.7	2360998816.2
82000000000.0	2249319747.1	2217311863.8	2363899756.8
83000000000.0	2250773322.7	2218565999.4	2366758662.3
84000000000.0	2252195512.7	2219792202.9	2369576649.9
85000000000.0	2253587325.4	2220991397.4	2372354792.9
86000000000.0	2254949726.5	2222164465.5	2375094123.3
87000000000.0	2256283640.9	2223312251.9	2377795633.4
88000000000.0	2257589955.0	2224435565.2	2380460277.8
89000000000.0	2258869519.0	2225535179.9	2383088975.7
90000000000.0	2260123148.0	2226611838.3	2385682612.1
91000000000.0	2261351624.6	2227666251.8	2388242039.8
92000000000.0	2262555700.0	2228699102.8	2390768080.9
