## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1011.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1011.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1011/P33410_1011.md.cram OUTPUT=picard/P33410_1011.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:31:32 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	541	17	0.146006	0.006277			
All Reads	ALL	1	96778	147	16	0.054686	0.00451			
All Reads	ALL	2	112145	228	17	0.073197	0.004848			
All Reads	ALL	3	142995	446	19	0.112293	0.005317			
All Reads	ALL	4	154320	580	18	0.135314	0.005619			
All Reads	ALL	5	157807	727	18	0.165861	0.006151			
All Reads	ALL	6	178809	1110	17	0.223496	0.006708			
All Reads	ALL	7	192237	1447	18	0.270999	0.007124			
All Reads	ALL	8	219150	1723	18	0.283061	0.006819			
All Reads	ALL	9	247666	2364	19	0.343651	0.007068			
All Reads	ALL	10	291586	3239	19	0.399927	0.007027			
All Reads	ALL	11	356793	4408	19	0.444797	0.006699			
All Reads	ALL	12	465979	6346	19	0.49031	0.006155			
All Reads	ALL	13	615239	9482	20	0.554872	0.005698			
All Reads	ALL	14	873141	14539	21	0.599497	0.004972			
All Reads	ALL	15	1285786	22935	21	0.642195	0.004241			
All Reads	ALL	16	1924728	35777	22	0.669224	0.003538			
All Reads	ALL	17	2891023	55018	22	0.685157	0.002921			
All Reads	ALL	18	4335741	85029	23	0.706058	0.002421			
All Reads	ALL	19	6401990	129159	23	0.726351	0.002021			
All Reads	ALL	20	9247196	189598	23	0.738177	0.001695			
All Reads	ALL	21	13006685	272341	23	0.753847	0.001445			
All Reads	ALL	22	17758784	378267	24	0.766871	0.001247			
All Reads	ALL	23	23572432	513854	24	0.784824	0.001095			
All Reads	ALL	24	30422731	675239	24	0.799091	0.000972			
All Reads	ALL	25	38148940	863204	24	0.814644	0.000877			
All Reads	ALL	26	46458566	1072901	24	0.83144	0.000803			
All Reads	ALL	27	55140542	1296102	24	0.846262	0.000743			
All Reads	ALL	28	63902550	1532950	24	0.863668	0.000698			
All Reads	ALL	29	72441993	1775890	24	0.882597	0.000662			
All Reads	ALL	30	80581156	2013952	24	0.899813	0.000634			
All Reads	ALL	31	88164984	2259372	24	0.922632	0.000614			
All Reads	ALL	32	95038247	2492871	24	0.944361	0.000598			
All Reads	ALL	33	101107447	2698780	24	0.960995	0.000585			
All Reads	ALL	34	106387106	2884539	24	0.976167	0.000575			
All Reads	ALL	35	110786537	3046435	24	0.990015	0.000567			
All Reads	ALL	36	114265477	3176891	24	1.000977	0.000562			
All Reads	ALL	37	116110601	3256709	24	1.00982	0.00056			
All Reads	ALL	38	115907234	3265684	24	1.014379	0.000561			
All Reads	ALL	39	113900160	3228734	24	1.020575	0.000568			
All Reads	ALL	40	110364340	3161919	24	1.031475	0.00058			
All Reads	ALL	41	105407746	3063735	24	1.046443	0.000598			
All Reads	ALL	42	99544188	2936446	24	1.062045	0.00062			
All Reads	ALL	43	93500811	2801780	24	1.078836	0.000645			
All Reads	ALL	44	88088657	2677612	24	1.094371	0.000669			
All Reads	ALL	45	83720724	2579475	24	1.109265	0.000691			
All Reads	ALL	46	80351717	2504136	24	1.122017	0.000709			
All Reads	ALL	47	77655538	2435868	24	1.129323	0.000724			
All Reads	ALL	48	74952441	2356644	24	1.131996	0.000737			
All Reads	ALL	49	71661283	2244022	24	1.127403	0.000753			
All Reads	ALL	50	67505559	2110476	24	1.125583	0.000775			
All Reads	ALL	51	62660114	1948223	24	1.119397	0.000802			
All Reads	ALL	52	57645953	1780839	24	1.112225	0.000833			
All Reads	ALL	53	52963590	1621098	24	1.101967	0.000865			
All Reads	ALL	54	48793587	1481437	24	1.093093	0.000898			
All Reads	ALL	55	45115286	1351258	24	1.078329	0.000928			
All Reads	ALL	56	41569878	1225377	24	1.061275	0.000959			
All Reads	ALL	57	37799155	1092602	24	1.040679	0.000996			
All Reads	ALL	58	33644269	947281	24	1.013689	0.001042			
All Reads	ALL	59	29144419	800094	24	0.988377	0.001105			
All Reads	ALL	60	24632876	649654	24	0.949519	0.001178			
All Reads	ALL	61	20468515	516866	24	0.909135	0.001265			
All Reads	ALL	62	16914610	405003	24	0.862051	0.001355			
All Reads	ALL	63	13979884	324942	23	0.836834	0.001468			
All Reads	ALL	64	11560263	247635	23	0.771225	0.00155			
All Reads	ALL	65	9542060	194467	23	0.733737	0.001664			
All Reads	ALL	66	7868349	147864	23	0.676575	0.001759			
All Reads	ALL	67	6396960	116159	23	0.653757	0.001918			
All Reads	ALL	68	5119562	88018	23	0.618978	0.002086			
All Reads	ALL	69	4099097	66119	22	0.580731	0.002258			
All Reads	ALL	70	3289710	51171	22	0.560019	0.002476			
All Reads	ALL	71	2634439	39384	22	0.538231	0.002712			
All Reads	ALL	72	2131665	31391	21	0.53018	0.002992			
All Reads	ALL	73	1739975	25444	21	0.526477	0.003301			
All Reads	ALL	74	1435643	20628	21	0.517306	0.003602			
All Reads	ALL	75	1208249	17062	21	0.508406	0.003892			
All Reads	ALL	76	1041500	14292	21	0.49405	0.004133			
All Reads	ALL	77	916351	12111	21	0.475833	0.004324			
All Reads	ALL	78	815285	11158	20	0.492735	0.004665			
All Reads	ALL	79	711558	9402	20	0.475715	0.004906			
All Reads	ALL	80	606682	7965	20	0.472674	0.005296			
All Reads	ALL	81	510586	6233	20	0.439506	0.005567			
All Reads	ALL	82	428988	5341	19	0.448244	0.006133			
All Reads	ALL	83	353096	4169	19	0.425085	0.006584			
All Reads	ALL	84	276529	3400	19	0.442665	0.007592			
All Reads	ALL	85	200966	2274	19	0.407385	0.008543			
All Reads	ALL	86	134371	1478	18	0.39601	0.010301			
All Reads	ALL	87	88139	807	19	0.329642	0.011604			
All Reads	ALL	88	60841	523	19	0.309487	0.013533			
All Reads	ALL	89	39439	380	19	0.346892	0.017795			
All Reads	ALL	90	25739	208	19	0.290943	0.020173			
All Reads	ALL	91	16593	163	19	0.353671	0.027702			
All Reads	ALL	92	9922	79	17	0.286658	0.032252			
All Reads	ALL	93	6255	42	17	0.241746	0.037302			
All Reads	ALL	94	3553	574	19	5.81639	0.242771			
All Reads	ALL	95	1701	6186	17	130.930978	1.664706			
All Reads	ALL	96	986	2571	17	93.877599	1.851446			
All Reads	ALL	97	658	66298	16	3627.532772	14.088382			
All Reads	ALL	98	328	16880	19	1852.829298	14.260974			
All Reads	ALL	99	133	11234	20	3041.022192	28.691442			
All Reads	ALL	100	339	3	18	0.318609	0.183949			


