## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1005.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1005.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1005/P33410_1005.md.cram OUTPUT=picard/P33410_1005.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:18:54 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	664	17	0.179303	0.006958			
All Reads	ALL	1	96778	175	15	0.065139	0.004924			
All Reads	ALL	2	112145	281	17	0.090263	0.005385			
All Reads	ALL	3	142995	466	18	0.117394	0.005438			
All Reads	ALL	4	154320	633	18	0.147762	0.005873			
All Reads	ALL	5	157807	823	17	0.187869	0.006549			
All Reads	ALL	6	178809	1254	18	0.252633	0.007134			
All Reads	ALL	7	192237	1488	18	0.278836	0.007228			
All Reads	ALL	8	219150	1928	19	0.316919	0.007218			
All Reads	ALL	9	247666	2603	19	0.378608	0.007421			
All Reads	ALL	10	291586	3551	19	0.438699	0.007362			
All Reads	ALL	11	356793	4731	19	0.47766	0.006945			
All Reads	ALL	12	465979	6870	19	0.531096	0.006408			
All Reads	ALL	13	615239	10208	20	0.597695	0.005916			
All Reads	ALL	14	873141	15230	21	0.628345	0.005092			
All Reads	ALL	15	1285786	24352	21	0.682258	0.004372			
All Reads	ALL	16	1924728	38029	21	0.711751	0.00365			
All Reads	ALL	17	2891023	58938	22	0.734389	0.003025			
All Reads	ALL	18	4335741	90661	22	0.753251	0.002502			
All Reads	ALL	19	6401990	136779	23	0.769639	0.002081			
All Reads	ALL	20	9247196	202386	23	0.788411	0.001753			
All Reads	ALL	21	13006685	287416	23	0.796025	0.001485			
All Reads	ALL	22	17758784	400227	24	0.81185	0.001283			
All Reads	ALL	23	23572432	539472	24	0.824417	0.001122			
All Reads	ALL	24	30422731	710565	24	0.841372	0.000998			
All Reads	ALL	25	38148940	903337	24	0.853002	0.000897			
All Reads	ALL	26	46458566	1120072	24	0.868486	0.000821			
All Reads	ALL	27	55140542	1353464	24	0.884216	0.00076			
All Reads	ALL	28	63902550	1595525	24	0.899431	0.000712			
All Reads	ALL	29	72441993	1844944	24	0.917435	0.000675			
All Reads	ALL	30	80581156	2097882	24	0.937843	0.000647			
All Reads	ALL	31	88164984	2343827	24	0.957661	0.000626			
All Reads	ALL	32	95038247	2574075	24	0.975675	0.000608			
All Reads	ALL	33	101107447	2794664	24	0.995701	0.000596			
All Reads	ALL	34	106387106	2978370	24	1.008491	0.000584			
All Reads	ALL	35	110786537	3139428	24	1.020813	0.000576			
All Reads	ALL	36	114265477	3265799	24	1.029572	0.00057			
All Reads	ALL	37	116110601	3328459	24	1.032652	0.000566			
All Reads	ALL	38	115907234	3324219	24	1.033146	0.000567			
All Reads	ALL	39	113900160	3273755	24	1.035391	0.000572			
All Reads	ALL	40	110364340	3195778	24	1.043111	0.000584			
All Reads	ALL	41	105407746	3082615	24	1.053487	0.0006			
All Reads	ALL	42	99544188	2936364	24	1.062616	0.00062			
All Reads	ALL	43	93500811	2788681	24	1.0744	0.000643			
All Reads	ALL	44	88088657	2652132	24	1.08457	0.000666			
All Reads	ALL	45	83720724	2543249	24	1.094305	0.000686			
All Reads	ALL	46	80351717	2450067	24	1.098412	0.000702			
All Reads	ALL	47	77655538	2366305	24	1.097693	0.000714			
All Reads	ALL	48	74952441	2282769	24	1.097132	0.000726			
All Reads	ALL	49	71661283	2169388	24	1.090524	0.00074			
All Reads	ALL	50	67505559	2029065	24	1.082777	0.00076			
All Reads	ALL	51	62660114	1874077	24	1.077404	0.000787			
All Reads	ALL	52	57645953	1709903	24	1.068526	0.000817			
All Reads	ALL	53	52963590	1552224	24	1.055746	0.000847			
All Reads	ALL	54	48793587	1410465	24	1.041315	0.000877			
All Reads	ALL	55	45115286	1281592	24	1.023313	0.000904			
All Reads	ALL	56	41569878	1155218	24	1.001078	0.000931			
All Reads	ALL	57	37799155	1028504	24	0.980181	0.000967			
All Reads	ALL	58	33644269	888812	24	0.951659	0.001009			
All Reads	ALL	59	29144419	746374	23	0.922537	0.001068			
All Reads	ALL	60	24632876	604240	23	0.883643	0.001137			
All Reads	ALL	61	20468515	480232	23	0.845176	0.00122			
All Reads	ALL	62	16914610	375530	23	0.79977	0.001305			
All Reads	ALL	63	13979884	291954	23	0.752304	0.001392			
All Reads	ALL	64	11560263	224686	23	0.70015	0.001477			
All Reads	ALL	65	9542060	173511	23	0.655039	0.001573			
All Reads	ALL	66	7868349	133267	23	0.610129	0.001671			
All Reads	ALL	67	6396960	101871	23	0.573666	0.001797			
All Reads	ALL	68	5119562	76363	22	0.53732	0.001944			
All Reads	ALL	69	4099097	58468	22	0.513822	0.002125			
All Reads	ALL	70	3289710	44651	22	0.488941	0.002314			
All Reads	ALL	71	2634439	35023	22	0.478903	0.002559			
All Reads	ALL	72	2131665	28676	21	0.484599	0.002862			
All Reads	ALL	73	1739975	22810	21	0.472242	0.003127			
All Reads	ALL	74	1435643	18614	21	0.467063	0.003423			
All Reads	ALL	75	1208249	15325	21	0.456906	0.003691			
All Reads	ALL	76	1041500	12865	21	0.444972	0.003923			
All Reads	ALL	77	916351	11209	21	0.440644	0.004162			
All Reads	ALL	78	815285	9927	20	0.438623	0.004402			
All Reads	ALL	79	711558	8451	20	0.427839	0.004654			
All Reads	ALL	80	606682	7109	20	0.422114	0.005006			
All Reads	ALL	81	510586	5774	20	0.407371	0.005361			
All Reads	ALL	82	428988	4731	20	0.397274	0.005776			
All Reads	ALL	83	353096	3783	19	0.385946	0.006275			
All Reads	ALL	84	276529	3072	19	0.400187	0.00722			
All Reads	ALL	85	200966	2102	18	0.376784	0.008218			
All Reads	ALL	86	134371	1313	19	0.351999	0.009714			
All Reads	ALL	87	88139	710	19	0.290184	0.01089			
All Reads	ALL	88	60841	503	19	0.29782	0.013279			
All Reads	ALL	89	39439	266	19	0.242962	0.014897			
All Reads	ALL	90	25739	175	19	0.244923	0.018514			
All Reads	ALL	91	16593	101	18	0.21927	0.021818			
All Reads	ALL	92	9922	53	16	0.192424	0.026431			
All Reads	ALL	93	6255	29	18	0.167014	0.031014			
All Reads	ALL	94	3553	560	18	5.677738	0.239928			
All Reads	ALL	95	1701	5143	17	108.916761	1.518751			
All Reads	ALL	96	986	2302	17	84.102888	1.752904			
All Reads	ALL	97	658	59202	16	3241.10418	13.320631			
All Reads	ALL	98	328	14991	19	1646.414819	13.446955			
All Reads	ALL	99	133	8630	19	2337.446399	25.161485			
All Reads	ALL	100	339	1	22	0.106263	0.106263			


