## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1010.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1010.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1010/P33410_1010.md.cram OUTPUT=picard/P33410_1010.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:19:43 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	469	16	0.127031	0.005866			
All Reads	ALL	1	96778	165	15	0.061604	0.004796			
All Reads	ALL	2	112145	234	16	0.075394	0.004929			
All Reads	ALL	3	142995	428	18	0.108149	0.005228			
All Reads	ALL	4	154320	584	18	0.136738	0.005658			
All Reads	ALL	5	157807	711	18	0.162795	0.006105			
All Reads	ALL	6	178809	1038	18	0.209752	0.00651			
All Reads	ALL	7	192237	1336	18	0.251112	0.00687			
All Reads	ALL	8	219150	1760	18	0.290181	0.006917			
All Reads	ALL	9	247666	2249	18	0.328112	0.006919			
All Reads	ALL	10	291586	3027	19	0.375098	0.006818			
All Reads	ALL	11	356793	4212	19	0.426551	0.006572			
All Reads	ALL	12	465979	5896	19	0.457182	0.005954			
All Reads	ALL	13	615239	8904	20	0.522925	0.005542			
All Reads	ALL	14	873141	13509	20	0.559033	0.00481			
All Reads	ALL	15	1285786	20942	21	0.588502	0.004067			
All Reads	ALL	16	1924728	32266	21	0.605723	0.003372			
All Reads	ALL	17	2891023	50339	22	0.629146	0.002804			
All Reads	ALL	18	4335741	77858	22	0.648841	0.002325			
All Reads	ALL	19	6401990	118376	23	0.668109	0.001942			
All Reads	ALL	20	9247196	174492	23	0.681811	0.001632			
All Reads	ALL	21	13006685	250480	23	0.695833	0.00139			
All Reads	ALL	22	17758784	351823	24	0.715829	0.001207			
All Reads	ALL	23	23572432	477600	24	0.73208	0.001059			
All Reads	ALL	24	30422731	631047	24	0.749483	0.000943			
All Reads	ALL	25	38148940	809541	24	0.766752	0.000852			
All Reads	ALL	26	46458566	1010897	24	0.786212	0.000782			
All Reads	ALL	27	55140542	1229558	24	0.805706	0.000727			
All Reads	ALL	28	63902550	1460755	24	0.825957	0.000683			
All Reads	ALL	29	72441993	1698689	24	0.84727	0.00065			
All Reads	ALL	30	80581156	1943474	24	0.871452	0.000625			
All Reads	ALL	31	88164984	2182093	24	0.894284	0.000605			
All Reads	ALL	32	95038247	2409108	24	0.915917	0.00059			
All Reads	ALL	33	101107447	2617438	24	0.935388	0.000578			
All Reads	ALL	34	106387106	2800072	24	0.950996	0.000568			
All Reads	ALL	35	110786537	2960912	24	0.965688	0.000561			
All Reads	ALL	36	114265477	3087256	24	0.976239	0.000556			
All Reads	ALL	37	116110601	3166633	24	0.985427	0.000554			
All Reads	ALL	38	115907234	3188218	24	0.993884	0.000557			
All Reads	ALL	39	113900160	3158457	24	1.001957	0.000564			
All Reads	ALL	40	110364340	3102981	24	1.015895	0.000577			
All Reads	ALL	41	105407746	3012180	24	1.03254	0.000595			
All Reads	ALL	42	99544188	2898803	24	1.052207	0.000618			
All Reads	ALL	43	93500811	2786106	24	1.076665	0.000645			
All Reads	ALL	44	88088657	2676364	24	1.097801	0.000671			
All Reads	ALL	45	83720724	2594340	24	1.119676	0.000695			
All Reads	ALL	46	80351717	2522136	24	1.134153	0.000714			
All Reads	ALL	47	77655538	2468497	24	1.148573	0.000731			
All Reads	ALL	48	74952441	2401841	24	1.157862	0.000747			
All Reads	ALL	49	71661283	2309106	24	1.164281	0.000766			
All Reads	ALL	50	67505559	2184933	24	1.169491	0.000791			
All Reads	ALL	51	62660114	2030296	24	1.170757	0.000822			
All Reads	ALL	52	57645953	1862932	24	1.167687	0.000856			
All Reads	ALL	53	52963590	1702031	24	1.16115	0.00089			
All Reads	ALL	54	48793587	1561573	24	1.156373	0.000925			
All Reads	ALL	55	45115286	1426510	24	1.142482	0.000957			
All Reads	ALL	56	41569878	1296876	24	1.127245	0.00099			
All Reads	ALL	57	37799155	1161718	24	1.110496	0.00103			
All Reads	ALL	58	33644269	1013328	24	1.088272	0.001081			
All Reads	ALL	59	29144419	854897	24	1.05988	0.001146			
All Reads	ALL	60	24632876	700417	24	1.027401	0.001228			
All Reads	ALL	61	20468515	559255	24	0.987238	0.00132			
All Reads	ALL	62	16914610	440171	23	0.940281	0.001417			
All Reads	ALL	63	13979884	344279	23	0.889827	0.001517			
All Reads	ALL	64	11560263	269275	23	0.841641	0.001622			
All Reads	ALL	65	9542060	209692	23	0.794032	0.001734			
All Reads	ALL	66	7868349	162940	23	0.748243	0.001854			
All Reads	ALL	67	6396960	124469	23	0.70305	0.001993			
All Reads	ALL	68	5119562	93790	23	0.661945	0.002161			
All Reads	ALL	69	4099097	73020	23	0.643653	0.002382			
All Reads	ALL	70	3289710	56413	22	0.619612	0.002609			
All Reads	ALL	71	2634439	44260	22	0.607046	0.002885			
All Reads	ALL	72	2131665	35531	22	0.602264	0.003195			
All Reads	ALL	73	1739975	28777	22	0.597587	0.003523			
All Reads	ALL	74	1435643	24263	22	0.610656	0.00392			
All Reads	ALL	75	1208249	19886	21	0.594688	0.004217			
All Reads	ALL	76	1041500	16642	21	0.577357	0.004476			
All Reads	ALL	77	916351	14820	21	0.584366	0.0048			
All Reads	ALL	78	815285	12834	21	0.568789	0.005021			
All Reads	ALL	79	711558	11261	20	0.571828	0.005389			
All Reads	ALL	80	606682	9534	20	0.567822	0.005815			
All Reads	ALL	81	510586	7639	20	0.540588	0.006185			
All Reads	ALL	82	428988	6488	20	0.546467	0.006784			
All Reads	ALL	83	353096	5068	19	0.518612	0.007285			
All Reads	ALL	84	276529	4166	19	0.544348	0.008434			
All Reads	ALL	85	200966	2920	19	0.524999	0.009716			
All Reads	ALL	86	134371	1883	19	0.506341	0.011669			
All Reads	ALL	87	88139	1091	19	0.447255	0.013541			
All Reads	ALL	88	60841	686	19	0.407405	0.015555			
All Reads	ALL	89	39439	427	19	0.391201	0.018932			
All Reads	ALL	90	25739	270	18	0.379027	0.023067			
All Reads	ALL	91	16593	179	19	0.389786	0.029134			
All Reads	ALL	92	9922	76	17	0.276766	0.031747			
All Reads	ALL	93	6255	44	20	0.25417	0.038318			
All Reads	ALL	94	3553	726	19	7.383119	0.274013			
All Reads	ALL	95	1701	7049	17	149.734413	1.783437			
All Reads	ALL	96	986	2927	17	107.261591	1.98259			
All Reads	ALL	97	658	78787	16	4326.404249	15.413448			
All Reads	ALL	98	328	18595	19	2048.42829	15.021824			
All Reads	ALL	99	133	12030	19	3268.228496	29.797484			
All Reads	ALL	100	339	1	6	0.106586	0.106586			


