## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1019.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1019.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1019/P33410_1019.md.cram OUTPUT=picard/P33410_1019.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 16:52:53 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	1369	20	0.363512	0.009825			
All Reads	ALL	1	96778	228	16	0.083452	0.005527			
All Reads	ALL	2	112145	294	17	0.092863	0.005416			
All Reads	ALL	3	142995	430	18	0.106518	0.005137			
All Reads	ALL	4	154320	499	18	0.11454	0.005127			
All Reads	ALL	5	157807	663	18	0.148821	0.00578			
All Reads	ALL	6	178809	910	18	0.180272	0.005976			
All Reads	ALL	7	192237	1331	19	0.245255	0.006722			
All Reads	ALL	8	219150	1439	19	0.232593	0.006131			
All Reads	ALL	9	247666	1974	19	0.282331	0.006355			
All Reads	ALL	10	291586	2823	19	0.342943	0.006455			
All Reads	ALL	11	356793	3908	19	0.387985	0.006206			
All Reads	ALL	12	465979	5781	20	0.439454	0.00578			
All Reads	ALL	13	615239	9017	20	0.519153	0.005467			
All Reads	ALL	14	873141	14091	21	0.571656	0.004816			
All Reads	ALL	15	1285786	22950	21	0.632253	0.004173			
All Reads	ALL	16	1924728	36626	22	0.674058	0.003522			
All Reads	ALL	17	2891023	58642	22	0.718513	0.002967			
All Reads	ALL	18	4335741	91819	22	0.750147	0.002476			
All Reads	ALL	19	6401990	140819	22	0.779154	0.002076			
All Reads	ALL	20	9247196	208075	22	0.797053	0.001747			
All Reads	ALL	21	13006685	297360	23	0.809829	0.001485			
All Reads	ALL	22	17758784	414071	23	0.825921	0.001284			
All Reads	ALL	23	23572432	553309	23	0.831458	0.001118			
All Reads	ALL	24	30422731	723452	24	0.842342	0.00099			
All Reads	ALL	25	38148940	919540	24	0.853818	0.00089			
All Reads	ALL	26	46458566	1136346	24	0.866407	0.000813			
All Reads	ALL	27	55140542	1371260	24	0.880899	0.000752			
All Reads	ALL	28	63902550	1614455	24	0.894921	0.000704			
All Reads	ALL	29	72441993	1866607	24	0.912724	0.000668			
All Reads	ALL	30	80581156	2116424	24	0.93035	0.00064			
All Reads	ALL	31	88164984	2362855	24	0.949332	0.000618			
All Reads	ALL	32	95038247	2603466	24	0.970355	0.000601			
All Reads	ALL	33	101107447	2819562	24	0.987815	0.000588			
All Reads	ALL	34	106387106	3010794	24	1.002465	0.000578			
All Reads	ALL	35	110786537	3170058	24	1.013578	0.000569			
All Reads	ALL	36	114265477	3295325	24	1.021552	0.000563			
All Reads	ALL	37	116110601	3374059	24	1.029338	0.00056			
All Reads	ALL	38	115907234	3391659	24	1.036523	0.000563			
All Reads	ALL	39	113900160	3350377	24	1.041949	0.000569			
All Reads	ALL	40	110364340	3275294	24	1.051232	0.000581			
All Reads	ALL	41	105407746	3156318	24	1.060682	0.000597			
All Reads	ALL	42	99544188	3028351	24	1.077624	0.000619			
All Reads	ALL	43	93500811	2900716	24	1.098922	0.000645			
All Reads	ALL	44	88088657	2771231	24	1.114371	0.000669			
All Reads	ALL	45	83720724	2659203	24	1.125112	0.00069			
All Reads	ALL	46	80351717	2553819	24	1.125828	0.000704			
All Reads	ALL	47	77655538	2454801	24	1.11975	0.000715			
All Reads	ALL	48	74952441	2342367	24	1.106997	0.000723			
All Reads	ALL	49	71661283	2212968	24	1.093875	0.000735			
All Reads	ALL	50	67505559	2054524	24	1.078075	0.000752			
All Reads	ALL	51	62660114	1885724	24	1.066017	0.000776			
All Reads	ALL	52	57645953	1710596	24	1.051128	0.000804			
All Reads	ALL	53	52963590	1551647	24	1.03775	0.000833			
All Reads	ALL	54	48793587	1404841	24	1.019862	0.00086			
All Reads	ALL	55	45115286	1269834	24	0.997012	0.000885			
All Reads	ALL	56	41569878	1142352	24	0.973416	0.000911			
All Reads	ALL	57	37799155	1011940	24	0.948309	0.000943			
All Reads	ALL	58	33644269	877549	24	0.923927	0.000986			
All Reads	ALL	59	29144419	739463	24	0.898749	0.001045			
All Reads	ALL	60	24632876	606919	24	0.872756	0.00112			
All Reads	ALL	61	20468515	484081	24	0.837739	0.001204			
All Reads	ALL	62	16914610	381653	24	0.799252	0.001294			
All Reads	ALL	63	13979884	297952	24	0.754953	0.001383			
All Reads	ALL	64	11560263	230375	24	0.705903	0.001471			
All Reads	ALL	65	9542060	177820	23	0.660109	0.001565			
All Reads	ALL	66	7868349	135981	23	0.61217	0.00166			
All Reads	ALL	67	6396960	102534	23	0.567769	0.001773			
All Reads	ALL	68	5119562	76411	23	0.528689	0.001913			
All Reads	ALL	69	4099097	56999	23	0.492557	0.002063			
