## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1006.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1006.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1006/P33410_1006.md.cram OUTPUT=picard/P33410_1006.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:32:29 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	639	17	0.172689	0.006831			
All Reads	ALL	1	96778	207	16	0.077112	0.00536			
All Reads	ALL	2	112145	252	17	0.081012	0.005103			
All Reads	ALL	3	142995	429	17	0.108159	0.005222			
All Reads	ALL	4	154320	703	18	0.164233	0.006194			
All Reads	ALL	5	157807	792	18	0.180936	0.006429			
All Reads	ALL	6	178809	1107	18	0.223195	0.006708			
All Reads	ALL	7	192237	1433	18	0.268742	0.007099			
All Reads	ALL	8	219150	1896	18	0.311905	0.007163			
All Reads	ALL	9	247666	2377	18	0.34601	0.007097			
All Reads	ALL	10	291586	3354	19	0.414689	0.00716			
All Reads	ALL	11	356793	4488	19	0.453485	0.006769			
All Reads	ALL	12	465979	6653	19	0.514727	0.006311			
All Reads	ALL	13	615239	9558	20	0.560079	0.005729			
All Reads	ALL	14	873141	14939	21	0.616827	0.005047			
All Reads	ALL	15	1285786	23655	21	0.663255	0.004312			
All Reads	ALL	16	1924728	36452	22	0.682776	0.003576			
All Reads	ALL	17	2891023	56967	22	0.710392	0.002976			
All Reads	ALL	18	4335741	88815	23	0.738498	0.002478			
All Reads	ALL	19	6401990	132967	23	0.748781	0.002053			
All Reads	ALL	20	9247196	196408	23	0.765729	0.001728			
All Reads	ALL	21	13006685	280712	23	0.778073	0.001469			
All Reads	ALL	22	17758784	391280	24	0.794329	0.00127			
All Reads	ALL	23	23572432	526100	24	0.804618	0.001109			
All Reads	ALL	24	30422731	689168	24	0.816682	0.000984			
All Reads	ALL	25	38148940	877714	24	0.829462	0.000885			
All Reads	ALL	26	46458566	1088456	24	0.844639	0.00081			
All Reads	ALL	27	55140542	1313391	24	0.858715	0.000749			
All Reads	ALL	28	63902550	1550028	24	0.874475	0.000702			
All Reads	ALL	29	72441993	1790187	24	0.890911	0.000666			
All Reads	ALL	30	80581156	2035321	24	0.910596	0.000638			
All Reads	ALL	31	88164984	2272618	24	0.929301	0.000616			
All Reads	ALL	32	95038247	2494924	24	0.946422	0.000599			
All Reads	ALL	33	101107447	2699469	24	0.962546	0.000586			
All Reads	ALL	34	106387106	2877049	24	0.974954	0.000575			
All Reads	ALL	35	110786537	3033771	24	0.987238	0.000567			
All Reads	ALL	36	114265477	3157532	24	0.996228	0.000561			
All Reads	ALL	37	116110601	3226650	24	1.001858	0.000558			
All Reads	ALL	38	115907234	3240383	24	1.007887	0.00056			
All Reads	ALL	39	113900160	3202413	24	1.013629	0.000566			
All Reads	ALL	40	110364340	3137819	24	1.025003	0.000579			
All Reads	ALL	41	105407746	3034003	24	1.037695	0.000596			
All Reads	ALL	42	99544188	2905979	24	1.052453	0.000617			
All Reads	ALL	43	93500811	2780082	24	1.071935	0.000643			
All Reads	ALL	44	88088657	2659275	24	1.088352	0.000667			
All Reads	ALL	45	83720724	2559345	24	1.102102	0.000689			
All Reads	ALL	46	80351717	2482925	24	1.114024	0.000707			
All Reads	ALL	47	77655538	2414200	24	1.120797	0.000721			
All Reads	ALL	48	74952441	2339871	24	1.125466	0.000736			
All Reads	ALL	49	71661283	2239897	24	1.126859	0.000753			
All Reads	ALL	50	67505559	2107583	24	1.125567	0.000775			
All Reads	ALL	51	62660114	1952909	24	1.123613	0.000804			
All Reads	ALL	52	57645953	1788708	24	1.118656	0.000836			
All Reads	ALL	53	52963590	1626756	24	1.107315	0.000868			
All Reads	ALL	54	48793587	1483226	24	1.095899	0.0009			
All Reads	ALL	55	45115286	1355456	24	1.083148	0.00093			
All Reads	ALL	56	41569878	1227204	24	1.0643	0.000961			
All Reads	ALL	57	37799155	1095934	24	1.04527	0.000998			
All Reads	ALL	58	33644269	950923	24	1.018968	0.001045			
All Reads	ALL	59	29144419	802059	24	0.992149	0.001108			
All Reads	ALL	60	24632876	655554	24	0.959444	0.001185			
All Reads	ALL	61	20468515	522074	24	0.919543	0.001273			
All Reads	ALL	62	16914610	409651	24	0.873128	0.001364			
All Reads	ALL	63	13979884	320603	23	0.82678	0.00146			
All Reads	ALL	64	11560263	248313	23	0.774387	0.001554			
All Reads	ALL	65	9542060	192530	23	0.727415	0.001658			
All Reads	ALL	66	7868349	149196	23	0.683596	0.00177			
All Reads	ALL	67	6396960	113229	23	0.638131	0.001896			
All Reads	ALL	68	5119562	85365	23	0.601137	0.002057			
All Reads	ALL	69	4099097	65017	22	0.571827	0.002243			
All Reads	ALL	70	3289710	50841	22	0.557163	0.002471			
All Reads	ALL	71	2634439	39765	22	0.544175	0.002729			
All Reads	ALL	72	2131665	32093	21	0.542772	0.00303			
All Reads	ALL	73	1739975	26309	21	0.545114	0.003361			
All Reads	ALL	74	1435643	20990	21	0.527099	0.003638			
