## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1014.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1014.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1014/P33410_1014.md.cram OUTPUT=picard/P33410_1014.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 16:54:20 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	1319	20	0.351408	0.009676			
All Reads	ALL	1	96778	234	16	0.085935	0.005618			
All Reads	ALL	2	112145	274	17	0.086836	0.005246			
All Reads	ALL	3	142995	437	18	0.108615	0.005196			
All Reads	ALL	4	154320	517	18	0.119069	0.005237			
All Reads	ALL	5	157807	650	18	0.146392	0.005742			
All Reads	ALL	6	178809	894	18	0.177696	0.005943			
All Reads	ALL	7	192237	1334	19	0.246631	0.006753			
All Reads	ALL	8	219150	1510	19	0.244886	0.006302			
All Reads	ALL	9	247666	1981	19	0.284281	0.006387			
All Reads	ALL	10	291586	2764	19	0.3369	0.006408			
All Reads	ALL	11	356793	3914	19	0.389882	0.006232			
All Reads	ALL	12	465979	5898	20	0.44985	0.005858			
All Reads	ALL	13	615239	9378	20	0.541746	0.005594			
All Reads	ALL	14	873141	14866	21	0.605116	0.004963			
All Reads	ALL	15	1285786	24067	21	0.665246	0.004288			
All Reads	ALL	16	1924728	37927	22	0.700339	0.003596			
All Reads	ALL	17	2891023	60442	22	0.743047	0.003022			
All Reads	ALL	18	4335741	94945	22	0.778283	0.002526			
All Reads	ALL	19	6401990	145712	22	0.808927	0.002119			
All Reads	ALL	20	9247196	214774	23	0.825469	0.001781			
All Reads	ALL	21	13006685	307126	23	0.839226	0.001514			
All Reads	ALL	22	17758784	425701	23	0.851962	0.001306			
All Reads	ALL	23	23572432	573589	24	0.864819	0.001142			
All Reads	ALL	24	30422731	747912	24	0.873738	0.00101			
All Reads	ALL	25	38148940	949508	24	0.884596	0.000908			
All Reads	ALL	26	46458566	1174971	24	0.898856	0.000829			
All Reads	ALL	27	55140542	1413550	24	0.911107	0.000766			
All Reads	ALL	28	63902550	1665450	24	0.92628	0.000718			
All Reads	ALL	29	72441993	1922091	24	0.943002	0.00068			
All Reads	ALL	30	80581156	2172085	24	0.958015	0.00065			
All Reads	ALL	31	88164984	2419547	24	0.975364	0.000627			
All Reads	ALL	32	95038247	2649385	24	0.990776	0.000609			
All Reads	ALL	33	101107447	2860963	24	1.005676	0.000595			
All Reads	ALL	34	106387106	3041494	24	1.016078	0.000583			
All Reads	ALL	35	110786537	3196133	24	1.025338	0.000574			
All Reads	ALL	36	114265477	3310129	24	1.029577	0.000566			
All Reads	ALL	37	116110601	3382056	24	1.035233	0.000563			
All Reads	ALL	38	115907234	3391743	24	1.040019	0.000565			
All Reads	ALL	39	113900160	3348321	24	1.044797	0.000571			
All Reads	ALL	40	110364340	3265201	24	1.051502	0.000582			
All Reads	ALL	41	105407746	3150546	24	1.062288	0.000598			
All Reads	ALL	42	99544188	3022590	24	1.079176	0.000621			
All Reads	ALL	43	93500811	2880816	24	1.095038	0.000645			
All Reads	ALL	44	88088657	2750353	24	1.109679	0.000669			
All Reads	ALL	45	83720724	2629807	24	1.1164	0.000688			
All Reads	ALL	46	80351717	2514523	24	1.112217	0.000701			
All Reads	ALL	47	77655538	2406837	24	1.101548	0.00071			
All Reads	ALL	48	74952441	2292186	24	1.086909	0.000718			
All Reads	ALL	49	71661283	2156197	24	1.069382	0.000728			
All Reads	ALL	50	67505559	1998961	24	1.052431	0.000744			
All Reads	ALL	51	62660114	1830424	24	1.03822	0.000767			
All Reads	ALL	52	57645953	1660633	24	1.023844	0.000795			
All Reads	ALL	53	52963590	1499345	24	1.006128	0.000822			
All Reads	ALL	54	48793587	1356646	24	0.988173	0.000848			
All Reads	ALL	55	45115286	1224377	24	0.96454	0.000872			
All Reads	ALL	56	41569878	1099441	24	0.939988	0.000896			
All Reads	ALL	57	37799155	973125	24	0.914988	0.000928			
All Reads	ALL	58	33644269	840163	24	0.887527	0.000968			
All Reads	ALL	59	29144419	707673	24	0.862991	0.001026			
All Reads	ALL	60	24632876	577077	24	0.832622	0.001096			
All Reads	ALL	61	20468515	462035	24	0.802264	0.00118			
All Reads	ALL	62	16914610	363821	24	0.76446	0.001267			
All Reads	ALL	63	13979884	284784	24	0.724004	0.001357			
All Reads	ALL	64	11560263	221035	24	0.679551	0.001445			
All Reads	ALL	65	9542060	170502	23	0.635062	0.001538			
All Reads	ALL	66	7868349	130467	23	0.589313	0.001632			
All Reads	ALL	67	6396960	98575	23	0.547674	0.001744			
All Reads	ALL	68	5119562	73160	23	0.50789	0.001878			
All Reads	ALL	69	4099097	55127	23	0.477975	0.002036			
All Reads	ALL	70	3289710	41438	22	0.447683	0.002199			
All Reads	ALL	71	2634439	31353	22	0.42298	0.002389			
All Reads	ALL	72	2131665	23897	22	0.398431	0.002577			
All Reads	ALL	73	1739975	18682	22	0.381601	0.002792			
All Reads	ALL	74	1435643	14767	22	0.365574	0.003008			
All Reads	ALL	75	1208249	11833	21	0.348071	0.0032			
All Reads	ALL	76	1041500	9504	21	0.324322	0.003327			
All Reads	ALL	77	916351	7710	21	0.299035	0.003406			
All Reads	ALL	78	815285	6341	21	0.276425	0.003471			
All Reads	ALL	79	711558	5239	21	0.261678	0.003615			
All Reads	ALL	80	606682	4106	21	0.24054	0.003754			
All Reads	ALL	81	510586	3212	20	0.223581	0.003945			
All Reads	ALL	82	428988	2652	20	0.219714	0.004266			
All Reads	ALL	83	353096	2008	19	0.202116	0.00451			
All Reads	ALL	84	276529	1446	20	0.185847	0.004887			
All Reads	ALL	85	200966	1005	19	0.177735	0.005606			
All Reads	ALL	86	134371	652	19	0.172453	0.006754			
All Reads	ALL	87	88139	367	19	0.147988	0.007725			
All Reads	ALL	88	60841	269	18	0.157139	0.009581			
All Reads	ALL	89	39439	187	19	0.168517	0.012323			
All Reads	ALL	90	25739	95	18	0.131178	0.013459			
