## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1015.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1015.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1015/P33410_1015.md.cram OUTPUT=picard/P33410_1015.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:03:19 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	1429	20	0.381145	0.010083			
All Reads	ALL	1	96778	195	16	0.071693	0.005134			
All Reads	ALL	2	112145	271	17	0.085982	0.005223			
All Reads	ALL	3	142995	399	18	0.099282	0.00497			
All Reads	ALL	4	154320	505	18	0.116437	0.005181			
All Reads	ALL	5	157807	592	17	0.13348	0.005486			
All Reads	ALL	6	178809	835	18	0.166156	0.00575			
All Reads	ALL	7	192237	1082	19	0.200267	0.006088			
All Reads	ALL	8	219150	1338	19	0.217238	0.005939			
All Reads	ALL	9	247666	1744	19	0.250553	0.006			
All Reads	ALL	10	291586	2500	19	0.305066	0.006101			
All Reads	ALL	11	356793	3533	19	0.352328	0.005928			
All Reads	ALL	12	465979	5297	19	0.404468	0.005557			
All Reads	ALL	13	615239	8491	20	0.491061	0.005329			
All Reads	ALL	14	873141	13415	21	0.546672	0.00472			
All Reads	ALL	15	1285786	21959	21	0.607665	0.004101			
All Reads	ALL	16	1924728	35479	22	0.655877	0.003482			
All Reads	ALL	17	2891023	56877	22	0.700012	0.002935			
All Reads	ALL	18	4335741	89433	22	0.73393	0.002454			
All Reads	ALL	19	6401990	136692	23	0.759711	0.002055			
All Reads	ALL	20	9247196	203024	23	0.781191	0.001734			
All Reads	ALL	21	13006685	293265	23	0.802258	0.001481			
All Reads	ALL	22	17758784	406450	23	0.814356	0.001277			
All Reads	ALL	23	23572432	548605	24	0.828086	0.001118			
