## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1018.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1018.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1018/P33410_1018.md.cram OUTPUT=picard/P33410_1018.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:07:57 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	1491	20	0.396731	0.010274			
All Reads	ALL	1	96778	202	18	0.074089	0.005213			
All Reads	ALL	2	112145	283	17	0.089575	0.005325			
All Reads	ALL	3	142995	381	18	0.094577	0.004845			
All Reads	ALL	4	154320	500	18	0.115008	0.005143			
All Reads	ALL	5	157807	672	18	0.151155	0.005831			
All Reads	ALL	6	178809	949	18	0.18839	0.006115			
All Reads	ALL	7	192237	1238	18	0.228594	0.006497			
All Reads	ALL	8	219150	1445	18	0.234049	0.006157			
All Reads	ALL	9	247666	1879	19	0.269303	0.006213			
All Reads	ALL	10	291586	2744	19	0.33404	0.006377			
All Reads	ALL	11	356793	3904	19	0.388396	0.006216			
All Reads	ALL	12	465979	5802	19	0.44197	0.005802			
All Reads	ALL	13	615239	8979	20	0.518042	0.005467			
All Reads	ALL	14	873141	14284	21	0.580693	0.004859			
All Reads	ALL	15	1285786	22944	21	0.633405	0.004182			
All Reads	ALL	16	1924728	36826	22	0.679151	0.003539			
All Reads	ALL	17	2891023	58541	22	0.718769	0.002971			
All Reads	ALL	18	4335741	91448	22	0.748672	0.002476			
All Reads	ALL	19	6401990	139720	23	0.774684	0.002073			
All Reads	ALL	20	9247196	205969	23	0.790629	0.001742			
All Reads	ALL	21	13006685	296781	23	0.809935	0.001487			
All Reads	ALL	22	17758784	411984	23	0.823471	0.001283			
All Reads	ALL	23	23572432	556993	24	0.838738	0.001124			
All Reads	ALL	24	30422731	730251	24	0.85203	0.000997			
All Reads	ALL	25	38148940	930464	24	0.865761	0.000898			
All Reads	ALL	26	46458566	1153440	24	0.881272	0.000821			
All Reads	ALL	27	55140542	1390919	24	0.895389	0.000759			
All Reads	ALL	28	63902550	1644220	24	0.913319	0.000712			
All Reads	ALL	29	72441993	1896623	24	0.929333	0.000675			
All Reads	ALL	30	80581156	2152632	24	0.948238	0.000646			
All Reads	ALL	31	88164984	2402272	24	0.967179	0.000624			
All Reads	ALL	32	95038247	2635494	24	0.984339	0.000606			
All Reads	ALL	33	101107447	2847938	24	0.999835	0.000592			
All Reads	ALL	34	106387106	3026962	24	1.009948	0.00058			
All Reads	ALL	35	110786537	3181593	24	1.019386	0.000572			
All Reads	ALL	36	114265477	3305304	24	1.02678	0.000565			
All Reads	ALL	37	116110601	3380424	24	1.033428	0.000562			
All Reads	ALL	38	115907234	3392064	24	1.038806	0.000564			
All Reads	ALL	39	113900160	3355070	24	1.045582	0.000571			
All Reads	ALL	40	110364340	3274920	24	1.053302	0.000582			
All Reads	ALL	41	105407746	3167165	24	1.066545	0.000599			
All Reads	ALL	42	99544188	3038175	24	1.083372	0.000622			
All Reads	ALL	43	93500811	2900469	24	1.101118	0.000647			
All Reads	ALL	44	88088657	2766230	24	1.114677	0.00067			
All Reads	ALL	45	83720724	2649361	24	1.123283	0.00069			
All Reads	ALL	46	80351717	2535906	24	1.12026	0.000703			
All Reads	ALL	47	77655538	2425675	24	1.108769	0.000712			
All Reads	ALL	48	74952441	2312289	24	1.095058	0.00072			
All Reads	ALL	49	71661283	2175548	24	1.077618	0.000731			
All Reads	ALL	50	67505559	2019193	24	1.061743	0.000747			
All Reads	ALL	51	62660114	1848131	24	1.046942	0.00077			
All Reads	ALL	52	57645953	1679308	24	1.034052	0.000798			
All Reads	ALL	53	52963590	1517779	24	1.017213	0.000826			
All Reads	ALL	54	48793587	1372928	24	0.998771	0.000852			
All Reads	ALL	55	45115286	1244254	24	0.978963	0.000878			
All Reads	ALL	56	41569878	1113838	24	0.951096	0.000901			
All Reads	ALL	57	37799155	988307	24	0.928091	0.000934			
All Reads	ALL	58	33644269	854794	24	0.901844	0.000975			
All Reads	ALL	59	29144419	718186	24	0.874707	0.001032			
All Reads	ALL	60	24632876	588511	24	0.848048	0.001105			
All Reads	ALL	61	20468515	468992	24	0.813317	0.001188			
All Reads	ALL	62	16914610	369785	24	0.776012	0.001276			
All Reads	ALL	63	13979884	289312	24	0.734588	0.001366			
All Reads	ALL	64	11560263	225272	24	0.691704	0.001457			
All Reads	ALL	65	9542060	174135	24	0.647776	0.001552			
All Reads	ALL	66	7868349	133122	23	0.600547	0.001646			
All Reads	ALL	67	6396960	101210	23	0.561605	0.001765			
All Reads	ALL	68	5119562	74639	23	0.517504	0.001894			
All Reads	ALL	69	4099097	56132	23	0.486075	0.002052			
All Reads	ALL	70	3289710	42452	23	0.458059	0.002223			
All Reads	ALL	71	2634439	32009	22	0.431286	0.002411			
All Reads	ALL	72	2131665	24474	22	0.407537	0.002605			
All Reads	ALL	73	1739975	19490	22	0.397603	0.002848			
All Reads	ALL	74	1435643	15015	22	0.371244	0.00303			
All Reads	ALL	75	1208249	12200	21	0.358413	0.003245			
All Reads	ALL	76	1041500	9862	21	0.336114	0.003385			
All Reads	ALL	77	916351	8010	22	0.310278	0.003467			
All Reads	ALL	78	815285	6700	21	0.291707	0.003564			
All Reads	ALL	79	711558	5471	20	0.272921	0.00369			
All Reads	ALL	80	606682	4522	21	0.264576	0.003934			
All Reads	ALL	81	510586	3431	20	0.238524	0.004072			
All Reads	ALL	82	428988	2730	20	0.225891	0.004323			
All Reads	ALL	83	353096	2046	20	0.205681	0.004547			
All Reads	ALL	84	276529	1615	20	0.207306	0.005159			
All Reads	ALL	85	200966	1088	19	0.192171	0.005826			
All Reads	ALL	86	134371	701	19	0.18518	0.006994			
All Reads	ALL	87	88139	438	19	0.176395	0.008428			
All Reads	ALL	88	60841	291	20	0.169776	0.009952			
All Reads	ALL	89	39439	203	19	0.182705	0.012823			
All Reads	ALL	90	25739	118	19	0.162731	0.014981			
All Reads	ALL	91	16593	81	19	0.173277	0.019253			
All Reads	ALL	92	9922	43	15	0.153833	0.023459			
All Reads	ALL	93	6255	18	17	0.102147	0.024076			
All Reads	ALL	94	3553	542	18	5.414832	0.232587			
All Reads	ALL	95	1701	6497	18	135.578081	1.682027			
All Reads	ALL	96	986	2362	17	85.032296	1.749621			
All Reads	ALL	97	658	42954	16	2317.174001	11.180387			
All Reads	ALL	98	328	29729	21	3217.26908	18.659381			
All Reads	ALL	99	133	28835	26	7695.719728	45.319934			
All Reads	ALL	100	339	0	0	0	0			


