## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1012.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1012.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1012/P33410_1012.md.cram OUTPUT=picard/P33410_1012.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:43:35 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	649	19	0.176145	0.006914			
All Reads	ALL	1	96778	189	16	0.070709	0.005143			
All Reads	ALL	2	112145	252	16	0.08136	0.005125			
All Reads	ALL	3	142995	478	18	0.121031	0.005536			
All Reads	ALL	4	154320	637	17	0.149453	0.005922			
All Reads	ALL	5	157807	811	18	0.186073	0.006534			
All Reads	ALL	6	178809	1098	17	0.222332	0.00671			
All Reads	ALL	7	192237	1523	18	0.286848	0.00735			
All Reads	ALL	8	219150	1848	18	0.305316	0.007102			
All Reads	ALL	9	247666	2402	18	0.351152	0.007165			
All Reads	ALL	10	291586	3341	19	0.414857	0.007177			
All Reads	ALL	11	356793	4627	19	0.469539	0.006903			
All Reads	ALL	12	465979	6599	19	0.512744	0.006312			
All Reads	ALL	13	615239	9563	20	0.56278	0.005755			
All Reads	ALL	14	873141	14578	20	0.604508	0.005007			
All Reads	ALL	15	1285786	22666	21	0.638256	0.004239			
All Reads	ALL	16	1924728	35632	21	0.670285	0.003551			
All Reads	ALL	17	2891023	54992	22	0.68871	0.002937			
All Reads	ALL	18	4335741	84460	22	0.705304	0.002427			
All Reads	ALL	19	6401990	128030	23	0.724078	0.002024			
All Reads	ALL	20	9247196	188458	23	0.737893	0.0017			
All Reads	ALL	21	13006685	270764	23	0.753725	0.001448			
All Reads	ALL	22	17758784	376375	24	0.767355	0.001251			
All Reads	ALL	23	23572432	508410	24	0.780905	0.001095			
