## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1022.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1022.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1022/P33410_1022.md.cram OUTPUT=picard/P33410_1022.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:06:49 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	1298	19	0.345878	0.0096			
All Reads	ALL	1	96778	220	16	0.080808	0.005448			
All Reads	ALL	2	112145	284	17	0.090022	0.005342			
All Reads	ALL	3	142995	457	18	0.113607	0.005314			
All Reads	ALL	4	154320	565	18	0.130148	0.005475			
All Reads	ALL	5	157807	756	18	0.170297	0.006194			
All Reads	ALL	6	178809	1008	18	0.200393	0.006312			
All Reads	ALL	7	192237	1255	19	0.232069	0.006551			
All Reads	ALL	8	219150	1548	19	0.251096	0.006382			
All Reads	ALL	9	247666	2047	19	0.293807	0.006494			
All Reads	ALL	10	291586	2893	19	0.352689	0.006557			
All Reads	ALL	11	356793	3852	19	0.383778	0.006184			
All Reads	ALL	12	465979	6006	20	0.458173	0.005912			
All Reads	ALL	13	615239	9041	20	0.522376	0.005494			
All Reads	ALL	14	873141	14153	21	0.576202	0.004843			
All Reads	ALL	15	1285786	22908	21	0.633328	0.004184			
All Reads	ALL	16	1924728	36010	22	0.665065	0.003505			
All Reads	ALL	17	2891023	57065	22	0.701663	0.002937			
All Reads	ALL	18	4335741	89099	22	0.730499	0.002447			
All Reads	ALL	19	6401990	135622	23	0.753053	0.002045			
All Reads	ALL	20	9247196	200180	23	0.769522	0.00172			
All Reads	ALL	21	13006685	286205	23	0.782206	0.001462			
All Reads	ALL	22	17758784	398365	23	0.797404	0.001263			
All Reads	ALL	23	23572432	537652	24	0.810788	0.001106			
