## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/P33410_1002.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/P33410_1002.gc_summary_metrics.txt INPUT=/vulpes/proj/ngis/ngi2016004/private/pontus/GA_24_11_scWGS/analysis/downsample_40M/sarek_GRCh38/outdir/preprocessing/markduplicates/P33410_1002/P33410_1002.md.cram OUTPUT=picard/P33410_1002.gc_bias_metrics.txt REFERENCE_SEQUENCE=/sw/data/igenomes/Homo_sapiens/NCBI/GRCh38/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 17:35:32 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	78	815285	11234	20	0.497006	0.004689			
All Reads	ALL	79	711558	9865	20	0.500062	0.005035			
All Reads	ALL	80	606682	8009	20	0.476161	0.005321			
All Reads	ALL	81	510586	6613	20	0.467161	0.005745			
All Reads	ALL	82	428988	5476	19	0.460421	0.006222			
All Reads	ALL	83	353096	4402	19	0.44967	0.006777			
All Reads	ALL	84	276529	3374	19	0.44009	0.007576			
All Reads	ALL	85	200966	2422	18	0.434699	0.008833			
All Reads	ALL	86	134371	1518	18	0.407477	0.010458			
All Reads	ALL	87	88139	879	19	0.359714	0.012133			
All Reads	ALL	88	60841	517	19	0.3065	0.01348			
All Reads	ALL	89	39439	324	18	0.296317	0.016462			
All Reads	ALL	90	25739	163	18	0.228419	0.017891			
All Reads	ALL	91	16593	128	18	0.278241	0.024593			
All Reads	ALL	92	9922	71	16	0.258105	0.030631			
All Reads	ALL	93	6255	44	15	0.253724	0.03825			
All Reads	ALL	94	3553	625	18	6.344853	0.253794			
All Reads	ALL	95	1701	6083	17	128.988277	1.653832			
All Reads	ALL	96	986	2747	17	100.48899	1.917296			
All Reads	ALL	97	658	71688	16	3929.681098	14.676891			
All Reads	ALL	98	328	16783	19	1845.578355	14.246156			
All Reads	ALL	99	133	9843	19	2669.393394	26.905981			
All Reads	ALL	100	339	0	0	0	0			


