SampleId	SamplePloidy
P33410_1001	2
P33410_1002	2
P33410_1003	2
P33410_1004	2
P33410_1005	2
P33410_1006	2
P33410_1007	2
P33410_1008	2
P33410_1009	2
P33410_1010	2
P33410_1011	2
P33410_1012	2
P33410_1013	2
P33410_1014	2
P33410_1015	2
P33410_1016	2
P33410_1017	2
P33410_1018	2
P33410_1019	2
P33410_1020	2
P33410_1021	2
P33410_1022	2
P33410_1023	2
P33410_1024	2
