Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102
P33410_1001	33.98299999999999	11.53500000000001	11.783000000000001	7.942	6.5539999999999985	5.049999999999997	4.073000000000004	3.257999999999999	2.6439999999999984	2.152000000000001	1.7669999999999995	1.4540000000000006	1.2030000000000003	1.0009999999999994	0.835	0.6970000000000001	0.5870000000000002	0.4939999999999998	0.4179999999999997	0.3550000000000004	0.3009999999999997	0.2570000000000001	0.21900000000000008	0.18799999999999994	0.16100000000000003	0.138	0.12	0.10299999999999998	0.08899999999999997	0.07699999999999996	0.067	0.05800000000000005	0.05099999999999999	0.04400000000000004	0.03899999999999998	0.034999999999999976	0.03	0.026000000000000023	0.022999999999999993	0.01999999999999999	0.018000000000000016	0.015999999999999986	0.014000000000000012	0.012999999999999998	0.010999999999999996	0.010000000000000009	0.008999999999999994	0.006999999999999992	0.007000000000000006	0.007000000000000006	0.0049999999999999975	0.0049999999999999975	0.0040000000000000036	0.003999999999999997	0.0029999999999999957	0.0040000000000000036	0.0020000000000000018	0.002999999999999999	0.0019999999999999983	0.0020000000000000018	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0009999999999999992	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009																											
P33410_1002	37.348000000000006	11.038999999999994	11.021999999999998	7.221000000000004	5.941999999999997	4.593	3.733999999999998	3.0230000000000032	2.483999999999998	2.0500000000000007	1.705	1.4239999999999995	1.1960000000000006	1.0060000000000002	0.8520000000000003	0.7239999999999993	0.6160000000000005	0.5259999999999998	0.45100000000000007	0.387	0.3330000000000002	0.2869999999999999	0.2489999999999999	0.21599999999999997	0.18700000000000006	0.16300000000000003	0.14300000000000002	0.125	0.10899999999999999	0.09499999999999997	0.08399999999999996	0.07400000000000007	0.06499999999999995	0.056999999999999995	0.05099999999999999	0.04400000000000004	0.03899999999999998	0.03600000000000003	0.030999999999999972	0.027000000000000024	0.024999999999999994	0.02200000000000002	0.01899999999999996	0.018000000000000016	0.014999999999999986	0.014000000000000012	0.011999999999999997	0.01100000000000001	0.009999999999999995	0.009000000000000008	0.007999999999999993	0.006999999999999992	0.006000000000000005	0.006000000000000005	0.0049999999999999975	0.0049999999999999975	0.0040000000000000036	0.003999999999999997	0.0030000000000000027	0.0029999999999999957	0.0030000000000000027	0.0020000000000000018	0.0030000000000000027	0.0019999999999999983	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0	0.0009999999999999992	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009																				
P33410_1003	42.318999999999996	9.970000000000006	10.000999999999998	6.349	5.239000000000001	4.055	3.323999999999998	2.715	2.2570000000000014	1.886000000000001	1.5909999999999993	1.3470000000000013	1.1469999999999994	0.9800000000000004	0.8409999999999993	0.7249999999999996	0.6260000000000003	0.5430000000000001	0.47199999999999953	0.4120000000000008	0.35899999999999954	0.31400000000000006	0.27700000000000014	0.24299999999999988	0.21399999999999997	0.18900000000000028	0.16699999999999982	0.14700000000000002	0.131	0.11699999999999999	0.10299999999999987	0.09200000000000008	0.08199999999999996	0.07299999999999995	0.06600000000000006	0.05800000000000005	0.052999999999999936	0.04700000000000004	0.041999999999999926	0.03800000000000009	0.03499999999999992	0.031000000000000083	0.02799999999999997	0.024999999999999967	0.02400000000000002	0.02100000000000002	0.01899999999999996	0.017000000000000015	0.016000000000000014	0.013999999999999985	0.013000000000000012	0.011999999999999983	0.01100000000000001	0.010000000000000009	0.008999999999999994	0.007999999999999993	0.007000000000000006	0.006999999999999992	0.007000000000000006	0.006000000000000005	0.0049999999999999906	0.0049999999999999975	0.0040000000000000036	0.003999999999999997	0.0040000000000000036	0.0040000000000000036	0.0029999999999999957	0.0030000000000000027	0.0020000000000000018	0.0029999999999999957	0.0020000000000000018	0.0020000000000000018	0.0019999999999999983	0.0009999999999999974	0.0020000000000000018	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0009999999999999974	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0009999999999999992	0.0	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009										
P33410_1004	37.397999999999996	10.832	11.221000000000004	7.292999999999999	6.062999999999999	4.656000000000002	3.7779999999999987	3.0389999999999997	2.485999999999999	2.0390000000000015	1.6870000000000012	1.400999999999998	1.1720000000000015	0.980999999999999	0.8280000000000003	0.7000000000000002	0.5940000000000003	0.5049999999999999	0.43199999999999994	0.371	0.31899999999999995	0.274	0.2370000000000001	0.20399999999999996	0.17700000000000005	0.15500000000000003	0.13299999999999979	0.11700000000000021	0.10299999999999998	0.08899999999999997	0.07899999999999996	0.06899999999999995	0.061000000000000054	0.05399999999999999	0.046999999999999986	0.04200000000000004	0.03699999999999998	0.03200000000000003	0.02899999999999997	0.026000000000000023	0.022999999999999993	0.01999999999999999	0.019000000000000017	0.016000000000000014	0.014999999999999986	0.012999999999999984	0.01200000000000001	0.010000000000000009	0.009999999999999981	0.009000000000000008	0.008000000000000007	0.006999999999999992	0.0059999999999999915	0.006000000000000005	0.0050000000000000044	0.0050000000000000044	0.003999999999999997	0.003999999999999997	0.0030000000000000027	0.0029999999999999957	0.0030000000000000027	0.0029999999999999957	0.0020000000000000018	0.0030000000000000027	0.0019999999999999983	0.0020000000000000018	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0009999999999999974	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0	0.0009999999999999992	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0	0.0010000000000000009															
P33410_1005	37.227	10.982999999999997	11.172000000000011	7.255999999999993	6.004000000000001	4.618000000000002	3.753999999999998	3.035	2.492000000000001	2.0540000000000003	1.7049999999999983	1.4220000000000006	1.1900000000000004	1.0010000000000003	0.8460000000000001	0.7149999999999999	0.6079999999999997	0.5190000000000001	0.44399999999999995	0.38000000000000034	0.3269999999999995	0.28100000000000014	0.242	0.20999999999999996	0.18100000000000027	0.1589999999999998	0.137	0.12	0.10599999999999998	0.09100000000000008	0.08099999999999996	0.07100000000000006	0.06299999999999994	0.05499999999999999	0.04800000000000004	0.04299999999999998	0.03899999999999998	0.032999999999999974	0.030000000000000027	0.026999999999999996	0.02300000000000002	0.021999999999999992	0.017999999999999988	0.017000000000000015	0.014999999999999986	0.013000000000000012	0.011999999999999983	0.01100000000000001	0.009000000000000008	0.008999999999999994	0.007000000000000006	0.006999999999999992	0.006000000000000005	0.0050000000000000044	0.0049999999999999975	0.0049999999999999975	0.0040000000000000036	0.0029999999999999957	0.003999999999999997	0.0020000000000000018	0.0030000000000000027	0.0019999999999999983	0.0030000000000000027	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0009999999999999992	0.0	0.0009999999999999992	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009	0.0																					
P33410_1006	42.336	9.450000000000003	9.756999999999998	6.327000000000005	5.321999999999996	4.163999999999998	3.4440000000000026	2.8299999999999983	2.365	1.9770000000000003	1.6670000000000016	1.411999999999999	1.2010000000000005	1.025999999999999	0.8780000000000001	0.753000000000001	0.6479999999999997	0.5589999999999997	0.48199999999999976	0.41900000000000004	0.363	0.31599999999999984	0.27500000000000036	0.24	0.2100000000000002	0.18299999999999983	0.15999999999999992	0.14100000000000001	0.123	0.10799999999999998	0.09499999999999997	0.08500000000000008	0.07299999999999995	0.06599999999999995	0.057999999999999996	0.051000000000000045	0.044999999999999984	0.03999999999999998	0.03600000000000003	0.030999999999999972	0.028000000000000025	0.026000000000000023	0.021999999999999992	0.01999999999999999	0.018000000000000016	0.014999999999999986	0.015000000000000013	0.011999999999999983	0.011999999999999997	0.010000000000000009	0.009999999999999995	0.007999999999999993	0.008000000000000007	0.007000000000000006	0.0059999999999999915	0.0050000000000000044	0.006000000000000005	0.003999999999999997	0.003999999999999997	0.003999999999999997	0.0040000000000000036	0.0030000000000000027	0.0020000000000000018	0.0029999999999999957	0.0020000000000000018	0.0020000000000000018	0.0019999999999999983	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0	0.0009999999999999992	0.0009999999999999992	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009	0.0																
P33410_1008	35.176	11.167000000000002	11.563999999999993	7.679000000000002	6.390000000000004	4.9289999999999985	3.993999999999996	3.214000000000002	2.6229999999999993	2.1450000000000014	1.7650000000000006	1.46	1.213	1.0069999999999997	0.8439999999999994	0.7060000000000004	0.5949999999999993	0.5020000000000007	0.4249999999999994	0.3600000000000003	0.30600000000000005	0.2609999999999999	0.2230000000000001	0.19100000000000006	0.16399999999999992	0.1409999999999999	0.12100000000000011	0.10499999999999998	0.08999999999999997	0.07799999999999996	0.06800000000000006	0.05900000000000005	0.050999999999999934	0.04500000000000004	0.03999999999999998	0.033999999999999975	0.03	0.026000000000000023	0.023999999999999994	0.01999999999999999	0.018000000000000016	0.015999999999999986	0.013999999999999999	0.01200000000000001	0.010999999999999996	0.009999999999999995	0.008000000000000007	0.007999999999999993	0.007000000000000006	0.005999999999999998	0.0049999999999999975	0.0050000000000000044	0.003999999999999997	0.0040000000000000036	0.0029999999999999957	0.0030000000000000027	0.0030000000000000027	0.0019999999999999983	0.0019999999999999983	0.0019999999999999983	0.0020000000000000018	0.0019999999999999983	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0009999999999999992	0.0009999999999999992	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009																													
P33410_1009	28.298000000000002	12.122	12.850000000000001	9.128999999999998	7.647000000000002	5.924999999999997	4.748999999999999	3.7520000000000007	2.995000000000001	2.3859999999999992	1.907	1.529	1.2280000000000006	0.9889999999999999	0.7989999999999999	0.6479999999999997	0.528	0.43000000000000016	0.35199999999999987	0.28800000000000026	0.23699999999999988	0.19599999999999995	0.16100000000000003	0.135	0.11099999999999999	0.09299999999999997	0.07800000000000001	0.065	0.05399999999999999	0.04600000000000004	0.03899999999999995	0.033	0.027000000000000024	0.023999999999999994	0.01999999999999999	0.017000000000000015	0.013999999999999985	0.013000000000000012	0.009999999999999995	0.009999999999999995	0.008	0.006999999999999999	0.006000000000000005	0.0049999999999999975	0.003999999999999997	0.0040000000000000036	0.0040000000000000036	0.0029999999999999957	0.0020000000000000018	0.002999999999999999	0.0019999999999999983	0.0020000000000000018	0.0010000000000000009	0.002	0.0009999999999999992	0.0009999999999999992	0.0010000000000000009	0.0009999999999999992	0.0010000000000000009																																												
P33410_1010	34.217	11.486000000000004	11.629999999999995	7.867000000000004	6.505999999999993	5.050000000000004	4.0809999999999995	3.2830000000000013	2.668000000000001	2.1739999999999977	1.7850000000000001	1.4719999999999995	1.2160000000000002	1.0070000000000006	0.8389999999999995	0.7000000000000011	0.5879999999999992	0.4950000000000001	0.4169999999999998	0.3530000000000002	0.29899999999999993	0.2540000000000002	0.21699999999999986	0.18500000000000005	0.15799999999999992	0.136	0.11599999999999999	0.09999999999999998	0.08699999999999997	0.07399999999999995	0.06500000000000006	0.05599999999999994	0.049000000000000044	0.04299999999999998	0.03700000000000003	0.032999999999999974	0.029000000000000026	0.024999999999999967	0.02200000000000002	0.019000000000000017	0.016999999999999987	0.014999999999999986	0.013999999999999999	0.01200000000000001	0.009999999999999995	0.009999999999999995	0.008000000000000007	0.007000000000000006	0.006999999999999992	0.006000000000000005	0.0049999999999999906	0.0050000000000000044	0.003999999999999997	0.0030000000000000027	0.0040000000000000036	0.0029999999999999957	0.0020000000000000018	0.002999999999999999	0.0019999999999999983	0.0020000000000000018	0.0019999999999999983	0.0020000000000000018	0.0009999999999999974	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0009999999999999992	0.0009999999999999992	0.0009999999999999992	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0010000000000000009	0.0																											
P33410_1011	45.143	9.384999999999998	9.455000000000005	5.982999999999997	4.942	3.8039999999999985	3.1189999999999998	2.5470000000000006	2.122	1.7750000000000004	1.4979999999999993	1.274000000000001	1.0910000000000002	0.9369999999999985	0.8080000000000007	0.6999999999999993	0.6070000000000011	0.5300000000000002	0.4619999999999993	0.4049999999999998	0.3560000000000003	0.31400000000000006	0.278	0.24499999999999966	0.21800000000000042	0.19399999999999995	0.17299999999999982	0.15500000000000003	0.139	0.12399999999999989	0.11099999999999999	0.10000000000000009	0.09099999999999997	0.08099999999999996	0.07400000000000007	0.06600000000000006	0.05899999999999994	0.05400000000000005	0.050000000000000044	0.04399999999999987	0.040000000000000036	0.03699999999999998	0.03300000000000003	0.031000000000000028	0.02799999999999997	0.025000000000000022	0.022999999999999965	0.02100000000000002	0.019000000000000017	0.017999999999999988	0.015999999999999986	0.014000000000000012	0.013999999999999985	0.01200000000000001	0.011999999999999983	0.010000000000000009	0.010000000000000009	0.009000000000000008	0.007999999999999993	0.007999999999999993	0.007000000000000006	0.006000000000000005	0.0059999999999999915	0.0050000000000000044	0.006000000000000005	0.00399999999999999	0.0050000000000000044	0.0040000000000000036	0.0029999999999999957	0.003999999999999997	0.0030000000000000027	0.0030000000000000027	0.0029999999999999957	0.0020000000000000018	0.0030000000000000027	0.001999999999999995	0.0020000000000000018	0.0019999999999999983	0.0020000000000000018	0.0010000000000000009	0.0019999999999999983	0.0010000000000000009	0.0009999999999999974	0.0020000000000000018	0.0010000000000000009	0.0009999999999999974	0.0010000000000000009	0.0010000000000000009	0.0010000000000000009	0.0	0.0010000000000000009	0.0009999999999999992	0.0	0.0009999999999999992	0.0	0.0009999999999999992	0.0	0.0010000000000000009	0.0	0.0009999999999999992	0.0	0.0	0.0010000000000000009
