Individual,Call rate per individual (%)
B_B1_cell_03,97.45
B_B2_cell_04,95.46
B_B3_cell_05,97.48
B_A3_cell_01,98.07
B_A4_cell_02,96.86
B_B4_cell_06,96.25
B_C1_cell_07,73.49
B_C2_cell_08,84.64
B_C3_cell_09,97.63
B_C4_cell_10,96.48
B_H3_10_cells,97.50
Q_B2_cell_01,84.09
Q_C2_cell_02,81.37
Q_D2_cell_03,75.65
Q_E2_cell_04,80.72
Q_F2_cell_05,80.06
Q_G2_cell_06,75.60
Q_A3_cell_07,82.96
Q_B3_cell_08,88.36
Q_C3_cell_09,83.76
Q_D3_cell_10,72.93
Q_H3_10_cells,94.59
,
