SampleId	GenomePloidy	NumSegments	SegmentMAD
P33410_1001	2	46	0.756138351647072
P33410_1002	2	41	0.942955092179018
P33410_1003	2	52	1.08827089393323
P33410_1004	2	45	0.787805553864753
P33410_1005	2	43	0.86183160662606
P33410_1006	2	52	1.09872791670843
P33410_1007	2	3	0.183067050719079
P33410_1008	2	37	0.837519430342117
P33410_1009	2	36	0.636752478155183
P33410_1010	2	64	1.00669933379764
P33410_1011	2	58	1.19472965807567
P33410_1012	2	34	0.358169152534977
P33410_1013	2	33	0.246866290344581
P33410_1014	2	31	0.381256179265527
P33410_1015	2	35	0.247713752754459
P33410_1016	2	57	0.493573084215495
P33410_1017	2	33	0.20669493379088
P33410_1018	2	34	0.313311241256353
P33410_1019	2	137	2.88258451211454
P33410_1020	2	86	1.3682534428842
P33410_1021	2	33	0.221477761534458
P33410_1022	2	32	0.40795803705624
P33410_1023	2	3	0.173218445888885
P33410_1024	2	36	0.412873947195889
